Unnamed: 0,type,c_content,c_Q,c_V,c_density,c_viscosity,c_interface tension,c_channel’s width,c_channel’s depth,c_weber number,c_capillary number,d_content,d_Q,d_V,d_density,d_viscosity,d_interface tension,d_channel’s width,d_channel’s depth,d_weber number,d_capillary number
2.5,dripping,Milli-Q water,,,,,,0.2,0.2,,,water,,,,,,,,,
0.5,dripping,,,,,,,,,,,Ti3C2Tx MXene solution,,,,,,,,,
7.5,squeezing,FC-40,1.66667e-08,,,,,0.07,0.15000000000000002,,,agarose,3.33e-09,,,,,0.07,0.17500000000000002,,
15.0,jetting,chitosan solutions,5.503472222222222e-06,50.05,,1.8755000000000002,0.045,1.25,1.25,,0.6251375,chitosan solutions,2.777777777777778e-08,,,4.37,,1.3375,1.25,,
6.5,squeezing,NMMO,8.333333333333334e-10,,,,,5.6,,,,cell/NMMO,6.67e-11,,,,,,,,
5.0,squeezing,different viscous solutions,6.666666666666668e-08,,,0.2405,,0.2,0.365,,0.035,gas,,3.315,,0.0089,,0.365,0.075,,
10.5,squeezing,water,2.9165e-09,1.375,,,,0.2,,,,PLGA-_b_ -PEG,1.6666666666666669e-06,0.1375,,0.0186,0.0109,0.2,,,0.003
24.5,squeezing,water,2.9166665000000004e-06,0.175,,0.00154,0.007075,0.3,0.3,,0.00158,Pickering emulsion,8.333333333333334e-10,0.02,0.5,,0.037,0.3,0.3,,0.00075
7.5,squeezing,highly viscous liquid,1e-09,0.405,1223.7,0.035100000000000006,0.04788,0.30000000000000004,0.30000000000000004,,0.025,gas,,,,0.0049499999999999995,,,,,
16.5,squeezing,ethanol,8.33e-07,0.021,1.1019999999999999,1.4075e-05,0.07,2.0,0.2,0.3,0.005,air,8.333333333333334e-06,0.01575,103.0,0.055,0.07100000000000001,1.2625,0.2,,
11.5,jetting,water,1e-08,,,0.021,,,0.045,,,oil,1.2515e-09,,,0.02235,0.0045,,0.045,,
18.0,dripping,water,5e-11,0.05265,997.1,0.00089,0.0045,0.06,0.0575,0.0005,0.0075,oil,1.6666666666666667e-11,0.0062,8.0,0.007,,,0.038000000000000006,0.08521500000000001,0.0105
0.5,dripping,"250 mM sucrose, 1 mM EDTA, 5 mM triethaniolamine, and pH 7.5",3.33e-09,,,,,0.075,,,,,,,,,,,,,
9.0,squeezing,Perfluoropolyether oil,5e-11,,1440.0,0.050449999999999995,0.0265,0.22,14.0,,0.006,gas,2.0833333333333334e-09,,970.0,0.01,,0.062,14.0,,
18.5,squeezing,Newtonian and immiscible liquid,,0.0147,1000.0,0.001,,1.0,,,0.1,Newtonian and immiscible liquid,,,1000.0,0.001,0.03,,,,0.00195
4.5,squeezing,oil,3.33e-09,,,,,0.7,,,,"alginate, fluorescent quantum dots, superparamagnetic nanoparticles",1e-10,,,,,,,,
10.0,dripping,oil,3.472222222222222e-11,,854.0,0.02606,0.0475,0.15000000000000002,0.04,,,"reactants (R1, R2)",4.16667e-12,,987.0,0.00091,,,0.04,,
2.0,squeezing,60wt% glycerol + 40wt% distilled water,1.8750000000000002e-05,,1000.0,0.001,0.03,0.15000000000000002,0.1,,0.0225,mixture inside in model a,4.166666666666667e-09,,950.0,0.005,,,,0.26249999999999996,
3.0,squeezing,fluid 1,,,,,,0.1,,,,two fluids of different concentrations,,,,,,,,,
11.5,,Dimethyl silicone oil,,0.01,920.0,0.01,0.03,,,,,different concentrations,,0.05,1155.0,0.001,0.03,,,,
12.0,dripping,oil,2.0833333333333332e-11,0.0005,980.0,0.00065,0.0085,0.2,0.1,,0.0012,oil,2.916666666666667e-11,,1000.0,0.001,,0.015,0.075,,0.0005
22.0,squeezing,,5.05,,,0.36072150000000003,0.98098,0.3625,,,0.0001,,0.055,,,0.001,,1.05,,,
15.5,squeezing,water,0.1875,0.18130000000000002,,,,0.111,,,0.036,water,0.3125,0.06545,,,,0.111,,,0.020999999999999998
5.5,jetting,Sunflower oil,,,909.0,,,,,,,Water,,,55.0,0.0026,0.2,2.0,,,
18.0,squeezing,oil,0.25,0.25,1000.0,0.0016,0.005,0.1,0.005,,0.01,water,,,1000.0,0.001,,0.1,,,
3.5,squeezing,calcium chloride solution,1.0583333333333333e-06,,,,,,,,,alginate solution,,,1050.0,0.25,,,,,
15.0,squeezing,,3.0,3.0,,,,0.5,,,0.00054,water,,2.5,,,,1.25,,,
16.5,dripping,oil,,,1000.0,0.001,,0.02,,,0.036,water,0.0004167,,1000.0,0.001,,0.02,,,0.006
14.0,squeezing,ethanol,,0.25,,,,,0.8,,0.005,air,1.5,0.25,150.0,0.000125,,,0.8,,0.0075
10.5,squeezing,deionized water with 0.5 wt% SDS,3e-06,20.0,,0.002,0.000114,0.4,0.2,,0.0146,n-Octane,7.5e-08,0.01,,,,0.2,0.2,,0.01
11.0,dripping,Deionized water,5.166666666666667e-06,,999.0,0.000945,,0.15000000000000002,0.15000000000000002,0.05,0.01,Deionized water,8.33e-10,,797.0,15.2875,0.04171,,,0.6,0.3
4.5,squeezing,sulfonated kerosene mixed with 2-ethylhexyl phosphonic acid mono-2-ethylhexyl ester P507 and sodium hydroxide,9.166666666666666e-07,,,0.00124,,500.15,0.1,,0.02,0.2 mol/L Y2O3 in hydrochloric acid solution,,,,0.007,,,,,0.03
12.0,squeezing,aqueous,0.000125,500.8,,5.9e-07,0.0385,2.125,,0.5,0.0085875,organic,1.0729166666666664e-06,,998.0,0.0015,,0.25,,0.37595,0.0044
10.0,dripping,50/50 (v/v) acetonitrile and water mixture,0.00016666666666666666,,856.0,8.645000000000001e-10,0.0074,0.5,,,,"HMF, 2-pentanol, EtAc, and MIBK",5e-05,,,,,0.5,,,
9.5,dripping,water,3.3525000000000004e-08,,997.6,0.0010274,0.0141,0.51,,2.2249999999999996,3.265,aqueous phase,,,865.2,0.000734,,0.51,0.269,,
8.5,jetting,organic phase,0.00015000000000000001,84.85,979.9,0.001004,,50.0,1.0,,,aqueous phase,0.00015000000000000001,,824.0,0.00736,,3.0,1.0,,
8.5,squeezing,light mineral oil,,,838.0,0.0231,0.0493,0.6,0.029500000000000002,,,DI water mixed with blue food dye,,0.00014,,,,0.11249999999999999,,,
7.0,squeezing,mineral oil,4.2205000000000005e-09,,838.0,0.035,0.0015,0.4,0.4,,0.1925,ferrofluid,2.777777777777778e-07,,1100.0,0.002,,,,,0.365
18.0,squeezing,air,7.500000000000001e-05,,1023.5,0.00975,0.024,2.0,2.0,,0.0027,ferrofluid,6.25e-08,0.5,5000.0,0.0012,0.025,,,,0.0027
8.5,dripping,"n-hexane/water with surfactants (SDS, CTAB, Triton X-100, Tween-20)",0.125,,,,0.045,0.6,0.0075,,0.02,n-hexane,,,,,,1.37,3.1,,
10.5,dripping,40/60% chloroform/cyclohexane (w/w) in the presence of 1% PBut-_b_ -PEO (w),1.6666666666666667e-09,,1.02,0.0018,0.0001,,,,,40/60% chloroform/cyclohexane (w/w) + 1% PBut-b-PEO (w),1.6666666666666667e-11,,970.0,0.00095,0.0007,0.02,,,
6.0,squeezing,phosphate acid,2.5350000000000003e-06,,,,,0.6,0.6,,,0% phosphate acid,1.66667e-08,0.8600000000000001,1510.0,,,,,,
9.5,squeezing,Nitrogen gas,3.67e-09,,,0.12085000000000001,,0.4,0.4,0.005,0.0165,gas,7.833333333333332e-10,,,0.14747500000000002,,,,,0.0115
6.0,dripping,liquid,1.850000000014e-06,,,,0.032,0.86,,,0.005,gas,,,,,,4e-05,0.004,,
13.5,dripping,sunflower oil with 0.5 wt.% Span80,6.666666666666667e-06,,,,0.0161,1.0,0.2,,0.08499999999999999,Deionized water,3.3333e-10,,,,,0.2,0.2,,0.08
20.5,jetting,Newtonian fluid,6.3e-05,0.5,,0.001375,0.011,12.7,0.5,,0.35,oil,8.333333333333334e-08,0.1,,0.026,0.011,0.006,0.051000000000000004,0.27703125,0.35
10.5,dripping,mineral oil with 4 wt% surfactant sorbitan laurate (Span 20),1.111e-06,,872.5,0.026,0.0015,0.4,0.4,,0.192,ferrofluid,2.777777777777778e-10,,1100.0,0.002,,0.4,0.4,113.85,
10.0,dripping,water,1.4178e-09,,,0.0055,0.04,0.005,0.05,0.5,0.02525,gas,3.826388888888889e-09,,,0.0275,0.04,0.4,,0.1,0.2
11.5,squeezing,working solution,4.166666666666667e-06,,899.0,0.00241,0.02355,,,,,water,1.5000000000000002e-05,,,,,0.25,,,
12.5,jetting,SDS concentrations,0.0035,,,0.00692,0.01857,0.46499999999999997,0.75,,,sodium dodecyl sulfate (SDS),2.7777777777777777e-10,,,0.00037,0.02864,0.53,0.74,,
11.0,dripping,2000 ppm aqueous phenol solution with 30 ppm Tween 20,5e-07,,998.0,0.001005,0.0077125,0.1,0.05,,,aqueous,1.0291666666666666e-08,,827.0,0.00893,0.0085,0.1,0.05,,
16.5,dripping,2% (w/w) solution of Span80 in hexadecane,2.4305555555555556e-08,,,0.01011,,0.2,0.2,,,water,1.6666666666666667e-09,,,0.00089,,,,,
2.5,squeezing,,,,,,,,,,,3–5 kDa FITC-dextran,,,,,,,,,
13.0,squeezing,silicone oil,1e-10,0.095,970.0,0.01,0.0365,0.4,0.14878999999999998,,0.0075,Water,1e-07,,1000.0,0.001,0.0365,0.4,0.125,,
3.5,squeezing,tributyrin,,,,,,0.1,,,,zein,5.555555555555556e-11,,,,,0.1,,,
8.5,squeezing,hexadecane,8.34168335e-09,,,,,0.05,0.1,,,PEGDA,8.33e-12,,,,,0.03,0.1,,
3.0,,ethanol-water mixture,3.1875e-09,,,,,,0.005,,,hexadecane,4.44e-11,,,,,,,,
8.5,jetting,water–glycerol solution (Gl. 80%),1.6666666666666666e-10,0.05,,,,0.4,0.4,,,silica beads in PBS,0.05,3.0000000000000004e-05,1200.0,,,,0.4,,
7.0,dripping,water,1.39e-10,,855.0,0.075,0.05,0.212,,,,oil,8.055555555555555e-10,,1020.0,0.001,,0.20600000000000002,,,
10.0,squeezing,refrigerant R141b,,,,,,0.9,0.525,,,nucleation bubbles,,,,,,0.6499999999999999,0.525,,
5.5,squeezing,"97% mineral oil, 3% SPAN®80",1.527777777777778e-09,,,,,0.7575000000000001,,,,chitosan solution,9.02e-10,,,,,0.4,,,
10.0,jetting,non-Newtonian properties,4.63e-12,0.0023,,,,0.2,0.2,,,non-Newtonian,4.63e-09,2.9e-05,,,,0.2,0.4,,
4.0,squeezing,hexadecane,4.1666666666666667e-07,,,,,0.4,0.1,,0.0075,DI water,2.5e-08,,,,,0.2,0.1,,
8.0,squeezing,liquid,2.5833333333333336e-05,0.012308,,0.0013,63.0,,,,0.0017,gas,5.46667e-12,,,,,0.037000000000000005,,,
2.5,dripping,oil,,,,,,0.2,0.045,,,water,,,,,,,,,
5.5,squeezing,Nitrogen,1.944e-08,,,,,0.04,,,0.02,nitrogen,1.66667e-06,,,,,0.1,,,
4.5,squeezing,QX200 droplet generation oil from Bio-Rad,8.333333333333333e-11,,,,,0.045,0.05,,,DI-water,1.3927083333333336e-07,,,,,0.04,0.05,,
3.5,squeezing,oil,4.86e-08,,,,,0.085,,,,aqueous,1.1347222222222223e-07,,,,,0.775,,,
7.5,squeezing,oil,2.0833333333333334e-09,0.25,950.0,,0.04244,0.39,0.19,,0.0134,water,0.0400005625,0.08,1024.0,,0.04244,,0.0204,,0.000325
9.5,squeezing,silicone oil,8.33e-09,,,,,1.58,,,0.00045349999999999996,water,4.17e-09,,,,,0.8,1.1,,0.000385
9.0,squeezing,n-Dodecane oil,4.1666699999999994e-10,0.039,1000.0,0.001,0.005,0.3,0.125,,0.0075,water,4.16667e-08,0.072,871.25,,0.04,,,,7.500000000000001e-05
11.0,squeezing,silicone oil,8.333333333333334e-10,,,0.01,0.02,0.1,0.0275,,0.05,DI water,,7.5,,0.001,0.02,0.1,0.03,,
5.0,squeezing,HFE 7500 with surfactants,,,,,,0.04,0.04,,0.015,DI water,,,,,,,,,
6.5,dripping,immiscible liquid,8.64e-09,,,,,0.05,0.015,,2.516575,water,2.77778e-10,,,,,0.025,,,
5.0,squeezing,0.5 wt% Tween 20 and Span 80,1.6666666666666666e-10,,,,,0.1,0.1,,,Tween 20 0.5 w%,1.66667e-11,,,,,0.025,0.2,,
12.5,squeezing,silicone oil,1.6666666666666666e-10,,,0.005,0.04,0.1,0.05,,0.55,DI water,1.0833333333333333e-10,,,0.001,,0.07500000000000001,0.05,,0.2
6.5,jetting,oil,,0.02,,0.035,4.5e-08,0.1,0.2,,0.015,water,,0.04,,,,,,,0.027
9.0,squeezing,2 wt% poly (vinyl alcohol) aqueous,1.11e-11,,1000.0,0.00195,0.005,0.1,0.05,,,"1,6-Hexanediol diacrylate",5.56e-11,,1000.0,0.00671,0.005,0.1,0.05,,
6.5,squeezing,mineral oil,6.944444444444444e-10,,,0.5075,,,,,,water,1.3889e-07,,,,,0.2,,,
9.0,dripping,water,,0.014,,,0.1,0.1,0.059,,5e-05,oil,,0.012,1070.0,0.039,0.1,0.02,0.0655,,
5.5,squeezing,air,4.590825e-07,1.5,,,,,0.5,173.50275,0.07515999999999999,air,8.333333333333333e-08,1.5,,,,,0.3,,
8.5,dripping,phospholipid suspension,5e-06,,,,,0.685,15.55,,,air,1.25e-08,,1260.0,0.026500000000000003,,0.15,0.3,,
19.0,squeezing,Water,,0.0905,103.0,0.001,0.072,0.055,1.0,1.0,0.0044,gas,,0.27549999999999997,1.225,1e-05,0.072,1.0,1.0,,0.002
6.0,squeezing,water,1.3888888888888888e-10,,,0.001,,0.04,0.05,,0.14,Air,2.77778e-11,1.0,,0.01,,0.8,0.03,,
30.0,squeezing,silicone oil,3.33333e-09,0.02763,,0.01065,,0.6,0.3,,0.03,water,3.333333333333333e-09,0.0185,,0.00645,,0.35,0.3,,0.0375
17.5,squeezing,oil,2.8e-08,,789.0,0.01,0.03005,0.1,0.3,0.009,0.00232,water,1.05e-10,0.0222,1000.0,0.0009,,0.25,0.525,,
14.0,jetting,mineral oil with 4% surfactant,3.33e-12,0.02,840.0,0.0241,0.0055,0.1,,,0.246,water,,0.01,998.0,0.0085,,0.07500000000000001,,,0.225
9.5,jetting,Air,,0.37725,1935.0,,,0.111,0.119,,0.01,gas,,0.3995,,,0.00735,0.309,0.119,,
14.0,squeezing,liquid,,0.318,1.2,1e-05,0.072,5.5,2.0,1.4,0.0445,gas,,0.242,103.0,0.001,0.072,1.0,,0.79,1.5
7.5,squeezing,water,2.8e-11,1.0,1000.0,0.001,,,,,0.002323,water,5e-08,,930.0,0.001,0.0365,,,,
11.0,dripping,air,,,,,,0.1,,,0.00055,water,,,,,,0.03,,,0.003625
17.0,squeezing,Fluid 1,4e-07,0.0167,1000.0,0.00195,0.0032500000000000003,0.1,0.1,,0.000312,Fluid 2,2e-07,0.0083,1020.0,0.00671,,,,,0.00156
20.5,dripping,,,0.12,1000.0,0.001,0.01525,1.0,1.5,0.037,0.004,,0.45999999999999996,0.36,773.0,0.0015,0.015,0.1,1.0,0.45999999999999996,0.012
10.0,squeezing,oil,6.05e-11,,930.0,0.055,0.073,0.1,0.033,,0.01,water,1.4e-07,,1000.0,0.001,,0.1875,0.033,0.009776,0.005
25.5,dripping,olive oil,5.55556e-10,0.05,,0.068,0.02074,0.2205,0.0735,,,SCMC,2.7778e-11,,998.2,0.00093,0.02037,0.09,0.0735,,
7.5,squeezing,octane with Span 80,,0.05,,0.00054,0.005,0.6,0.76,,0.007,water,,0.0125,1600.0,0.001,0.0508,0.6,0.76,,0.005
7.5,squeezing,0.14% SDS solution,5e-06,,,,,0.35,0.35,,,glycerol solutions,1e-05,0.0958,,,,0.6,0.6,,
2.0,squeezing,dilute polymer solution,,,1286.0,0.1,,3.0,3.0,,,"high molecular weight polyacrylamide (PAAm, Mw = 18 × 106 Da; Polysciences) of concentration c = 80 ppm",,,,,,,,,
10.5,dripping,water,9.375e-07,5.23e-05,,0.025400000000000002,,0.1,0.05,,,PDMS,9.75e-13,3.4635e-06,,3.5,,0.15,0.05,,
11.5,squeezing,PFD,1.6666666666666667e-05,,,,0.0404,0.15,,,,DMEM,1.667e-06,,,,0.0106,,,,
3.5,squeezing,fluorinated solvents and surfactants,2.8124999999999997e-11,,,,,,,,,"4% (v/v) Tween 20, 4% (w/v) PEG6k, 50 mM KCl, 20 mM Tris pH 8 in water",,,,,,,,,
10.5,jetting,40 wt% PEG and 15 wt% Na2SO4 stock aqueous solutions,7.083333333333332e-09,0.00051,,,5.0275e-05,0.6,0.2,,,aqueous,1.6666666666666667e-06,0.00051,,,5.0050000000000004e-05,,,,
6.5,squeezing,oil,9.166666666666666e-07,,,,,0.2825,,,,aqueous fluid,2.22222e-08,,,,,0.2825,1.585,,
14.5,squeezing,Newtonian oil,,0.00252,,,0.072,,,,0.02875,Newtonian,,0.013760000000000001,,,,,,,0.0425
7.5,squeezing,water,2.777777777777778e-06,0.0315,,,,2.0,2.0,,,water,6.67e-11,3.11e-06,,,,,,,
7.0,squeezing,white oil,8.33e-12,,818.5,0.07600000000000001,,0.2,,,0.05,DI water,5.0008333e-08,,999.0,0.00192,,0.05,,,0.05
1.5,squeezing,silicone oil,,0.105,,0.02,0.04,,,,0.05,DI water,,,,0.001,,,,,
7.0,squeezing,silicone oil,,,,0.0055,,0.1,0.05,,0.005,DI water,,0.44999999999999996,,0.001,,0.1,,,0.0066
22.0,squeezing,fluorinated oil FC-70,6.225e-06,,1940.0,2.3e-05,0.0067,0.75,0.75,,0.02,ethanol,3.115e-06,,789.0,,,0.75,0.75,,0.12
8.5,squeezing,ethanol,2.7650000000000003e-10,,998.0,0.001,0.0227,0.2,,0.2,0.005,oil,1.2515e-10,,,0.0072,0.0179,,,,
10.0,jetting,75% glycerol solution,1.67e-10,,,0.00815,,0.1,0.1,,0.05,silicone oil,2.638888888888889e-09,,950.0,0.0075,,0.2,0.1,,
7.5,squeezing,SDS aqueous solution,1.225e-05,,,,0.00515,0.62,0.6,,0.0202,n-octane,0.0077625,,,,0.3,,,,
13.0,squeezing,polyvinyl alcohol solution (2% by wt),,,1000.0,0.00195,0.005,0.1,1.3,,0.00556,"1,6-hexanediol diacrylate",,,1020.0,0.00671,0.01,0.1,0.3,,0.003705
5.0,jetting,oil,,,,,,0.125,0.125,,,aqueous,,,,,,0.24,0.035,,
9.0,squeezing,mineral oil with 4 wt.% surfactant sorbitanlauric acid ester (Span 20),5.75e-06,,875.1,0.026,0.003,0.4,0.4,,0.150375,50% glycerol aqueous solution,2.8e-08,,1128.0,0.005,,,,,
6.0,squeezing,wetting fluid,,,1000.0,7.12e-05,6.050000000000001e-05,0.02,,,0.002,second component fluid,,,,0.0002428,,,,,
15.5,dripping,85 wt% glycerin,,,,,,0.204,245.0,,,55 wt% glycerin,,,,,,0.204,,,
15.5,squeezing,2.3% PVA,2.5e-06,,1005.9,0.0028,0.0015,0.75,,,,oil,1.66667e-11,,1057.8,0.25,,,,,
8.0,jetting,UV glue,3.333333333333333e-09,,,0.001,,0.055,0.2,,0.4,UV glue,6.666666666666667e-07,,,0.255,,6.5,,,
2.0,squeezing,carrier oil,,,,,,0.1,0.1,,,aqueous,,,,,,,,,
6.5,,water,5e-09,,,,,,,,,air,3.3333e-06,,,,,,,,
9.0,squeezing,oil,1e-07,,,,,,,,,methanol,6.594166666666667e-10,0.003365,909.15,0.0691,0.00327,0.69,0.8,,0.09
8.0,squeezing,5 wt % chitosan aqueous solution,1.6666666666666669e-06,,996.0,0.11238,0.0012,0.4,0.2,,0.005025,chitosan,8.333333333333333e-11,,850.0,0.00648,,,,,
17.0,squeezing,air,6.666666666666667e-06,,,0.001,,0.24,8.0,,,liquid,1.46667e-05,,,0.001,,0.2,,,
12.0,squeezing,Nitrogen,0.0016666666666666668,0.1,,,,2.0,0.4,,0.003,gas,,0.1,,,,,,,
8.5,dripping,blue phase fluid,,0.11,1.0,8e-05,3e-05,0.02,,,0.035,red phase fluid,0.07,,1.0,8e-05,,0.0155,,,0.4
13.0,squeezing,"CO2-MT, CO2-EA, CO2-NPA",0.002934755,0.23375,997.0,0.000945,0.022,0.6,0.3,4.53,0.0255,gas,,0.2265,800.0,0.0013045,0.022699999999999998,,,,
12.0,dripping,1 M DMDBTDMA in n-dodecane,1.388888888888889e-10,0.08,1116.12,0.001131,,0.1,0.1,,0.189134375,DMDBDTDMA 1 M in n-dodecane,8.33e-12,0.07500000000000001,8.0,0.02027,0.0061,0.3,,,0.3725
11.0,dripping,organic phase,2.4999999999999998e-05,0.066,,,,0.475,0.05,,,aqueous phase,9.7222e-10,0.167,,,,0.75,,,
7.5,squeezing,oil,,0.00415,,0.0001,0.01925,0.03,0.025,,0.06,water,,,,,0.0075,0.02,0.015000000000000001,,
13.0,squeezing,Olive oil,5.694444444444445e-10,0.05,1000.0,0.001,0.025,0.2,1.5,,0.17,0.02% CMC,3.335e-11,0.0005,1000.0,0.05,,0.09,0.4,,
17.0,squeezing,water,2.7777777777777777e-10,,1000.0,0.001,0.04,0.2,0.1,0.75,0.01,silicone oil,2.5e-08,0.002,800.0,0.001,0.04,0.15000000000000002,0.1,0.65,0.02
14.0,squeezing,mineral oil,8.333333333333334e-09,0.006500000000000001,840.0,0.0241,0.015,0.1,0.1375,,0.0114,water,3.33e-12,0.0073,998.0,0.0007250000000000001,,0.2,0.2,,
14.5,squeezing,oil,,0.1,,,0.005,0.1,0.005,,0.02,water,,0.012,935.0,0.00134,0.0035,0.06,0.005,,0.01
14.0,squeezing,DI water,,,,,,0.12,0.1,,0.32007,oil,3.65e-05,,,,,,,,
11.0,dripping,,,0.095,,0.018,,0.060000000000000005,0.0575,,,liquid,,0.021,,0.0031000000000000003,3.7e-05,0.065,0.1,,
9.5,squeezing,water,,0.025,,0.0026,0.031,1.625,1.0,,0.004291625,air,,0.025,,,,1.0,0.512,,0.005548
19.0,squeezing,N2,3.2585e-09,,1000.0,0.00092,0.0315,0.12,0.04,,0.0094,water,2.5e-10,,,,,0.035,0.0065,,0.053
5.5,,perfluoropolyether oil,2.222222222222222e-11,,998.0,0.001,,0.05,,,,water,1.111111111111111e-08,0.0185,965.0,0.01,,0.025,,,
9.0,squeezing,polydimethylsiloxane (PDMS),2.4166666666666666e-10,0.165,920.0,0.008,0.0422,0.4,0.2,,,deionized water,8.335e-11,0.22999999999999998,103.0,0.001,,,,,
15.5,squeezing,silicone oil,,0.00347,984.0,0.0686,0.0125,0.1,0.08,,0.252525,aqueous glycerin solution,1.3972222222222222e-09,0.00028,1162.0,0.01058,,,,,
6.0,jetting,Supercritical CO2,1.5015e-09,,,,,0.75,0.75,,,gaseous CO2,,,,,,0.75,0.75,,
2.5,squeezing,oil,,,,0.085,0.024,,,,,water,,,,,,,,,
4.0,dripping,aqueous phase with 5 different surfactants,,0.20600000000000002,920.0,0.0046,,0.2925,0.19,,,surfactant type and surfactant concentration,1.8315e-13,0.02525,1132.0,0.0068,,,,,
10.5,squeezing,liquid,1.66667e-06,,,,,0.35,0.425,,,gas,2.777777777777778e-08,,,,,0.275,0.275,,
15.5,squeezing,carrier phase,1.66667e-07,,,,,0.8,1.6,,0.00395,aqueous,1.6666666666666667e-09,,,,,0.8,1.6,,
7.0,squeezing,silicone oil with dimethicone copolyol silicone surfactant,2.777777777777778e-10,,980.0,0.0019,0.02,0.04,0.0225,,0.2505,water,9.17500835e-11,,998.0,0.001003,,0.04,0.0225,1.2,0.013000000000000001
15.5,squeezing,Glycerine,7.361111111111111e-09,,,,,0.2,,,,gas,9.30556e-09,,,,,0.4,,,
10.0,squeezing,higher viscous liquid,9.17e-10,,1223.7,0.0456,0.034045,0.4,0.34125,,,gas,,,,0.14305,,,,,0.034
13.0,dripping,,,0.3296,,,,,,,0.0322,,,0.6487,,,,,,,
7.5,squeezing,Nitrogen,,0.004,,,,0.6,0.3,4.965,0.01,Water,4.166666666666667e-05,0.0231,,,,0.6,0.3,,
14.0,squeezing,,,0.5,2580.0,0.008790000000000001,,1.0,,,0.011,,,0.00028,1162.0,0.0686,0.0125,,,1.0,0.010499999999999999
9.5,squeezing,mineral oil,0.00222,,999.0,0.00101,0.01195,0.4,0.4,,0.09475,deionized water,0.0004166666666666667,,838.0,0.03521,,,,,
21.5,jetting,glycerol/deionized water mixture,1.7515000000000002e-08,0.1449,,,,0.4,0.1975,,0.49,SDS wt% = 0.25,3.50015e-10,0.00866,,,,0.46,0.1515,,
1.0,squeezing,silicone oil,,,,0.05,0.005,0.3,,,0.0017,water,,,,,,0.08,,,
12.0,squeezing,hexadecane with 0.2 wt.% Surfactant Span 80,,,,,,0.2,0.1,,0.0078,40% glycerol,,,,0.0057,,0.4,0.1,,2.28
24.0,squeezing,blue fluid,2.777777777777778e-10,,1000.0,0.084325,0.005,0.55,0.1,,0.02165,red fluid,5.555555555555555e-11,0.0074,1000.0,0.04,0.002505,,,,
12.0,squeezing,,,0.1875,,,,,,,0.005,,0.5,,,,,,,,
2.5,squeezing,R113,,,1502.0,0.000477,0.0144,0.1,,,0.026250000000000002,,,,,,1.44e-05,,,,
8.0,,power-law fluid with _n_ = 0.8 and _K_ = 0.025 Pa s _n_,,,,0.002,,0.26,4.005,,,Oldroyd-B fluid,,,,,,,,0.4,
18.5,squeezing,oil,3.4520005e-08,0.0228,1006.0,0.00089,0.07122,,,,0.005,water,2.4319500000000003e-07,0.012175000000000002,,7e-05,,,,,
4.5,jetting,1–10 wt% poly(vinyl alcohol),5.83e-06,,,0.0172,,0.03,0.11,,0.0125,liquid paraffin,,,837.5,0.0168,,0.041,0.05,,0.036
14.5,squeezing,gas,1.4583333333333333e-05,,1205.0,0.01808,0.07288,0.8,0.9,10.0,9.255e-05,water,1.5e-06,,998.2,0.001002,,,,,
10.5,dripping,mineral oil with a surfactant (Span 80) at a concentration of 5 wt. %,1.66666667e-07,,,,,0.1,0.05,,,DI water with 60.5 wt. % glycerin,1.6666666666666667e-09,,,0.009,0.00334,0.1,,,
3.0,dripping,oil,,0.4322,1940.0,0.00233,0.0211,,,,,crystallization solution,2.91e-07,,1013.0,0.00028,,0.508,,,
19.5,squeezing,ethanol,5e-08,,809.0,0.001005,0.0259,0.2,0.152,,0.005,ethanol (liquid),3e-06,,179.0,1.96e-05,,0.2175,0.866,,
7.0,squeezing,Liquid,,,,0.1,0.0208,,,,0.005,Silicone oil 47V100,2.52,,,1.1,0.0629,,,,
13.0,,soybean oil,4.1000000000000003e-10,0.32,997.0,0.025945,,0.256,,,0.23800000000000002,soybean oil,,0.5,,0.003,,,,,
