750 μm ,0.75 
"['1', 'different width ratios depending on θ angle'] ","['1', 'N/A'] "
3 ,3 
111 µm         ,0.111                
111 µm              ,0.111                          
100 μm         ,0.1                  
450 μm         ,0.45                 
200 μm         ,0.2                  
'15 μm'             ,0.015                           
'650 μm ID of silica capillaries' ,0.65              
'blocks entire channel diameter' ,'N/A'              
'D'                 ,'N/A'                           
"['7 μm', '12 μm']   ","[0.007, 0.012]                  "
250 μm         ,0.25                 
4 mm           ,4                    
250 μm              ,0.25                            
20             ,0.02                 
Wc             ,N/A                  
W c            ,N/A                  
fixed          ,N/A                  
20             ,0.02                 
340            ,0.34                 
20 ,0.02 
W d ,N/A 
['increasing'] ,['N/A'] 
"['0.25', '1.0', '1.5', '2.0'] ","['0.25', '1.0', '1.5', '2.0'] "
20 ,0.02 
"['0.6', '1.0'] ","['0.6', '1.0'] "
2 mm                ,2                               
narrow        ,N/A                  
1 mm               ,1                    
4 mm               ,4                    
2 mm               ,2                    
infinitely wide    ,N/A                  
100 μm             ,0.1                  
5 mm               ,5                    
525 μm              ,0.525                           
2 mm                ,2                               
100μm          ,0.1                  
wc             ,N/A                  
wc             ,N/A                  
100μm               ,0.1                            
wn                  ,N/A                            
1 mm           ,1                     
60 μm                            ,0.06                 
same as microchannel width       ,N/A                  
circular microchannel ,N/A                             
wc                   ,N/A                  
w_c                  ,N/A                  
wc                   ,N/A                  
wc                   ,N/A                  
100 μm               ,0.1                  
"['0.35', '0.90']     ","[0.35, 0.90]         "
wr                  ,N/A                            
w_d                 ,N/A                            
wd                  ,N/A                            
wd                  ,N/A                            
100 μm              ,0.1                            
2 _r_               ,2                              
200 µm ,0.2 
w ,N/A 
w        ,N/A       
much wider than 5 μm ,N/A                             
100 μm   ,0.1       
100 μm   ,0.1            
30–50 µm       ,0.03–0.05            
w              ,N/A                  
100 µm         ,0.1                  
several tens of micrometres         ,N/A                   
600 μμm                             ,0.6                   
200 μm                              ,0.2                   
wc                                  ,N/A                   
200 μm              ,0.2                             
1 mm ,1 
"['1000 μm', '30 μm'] ","[1, 0.03] "
400 μm ,0.4 
400 μm              ,0.4                             
400 μm              ,0.4                             
dd ,N/A 
"['70 μm', '4 μm'] ","[0.07, 0.004] "
50 µm ,0.05 
30 µm ,0.03 
160 μm              ,0.16                            
200 μm              ,0.2                             
212 ± 4 μm          ,0.212 ± 0.004                   
210 μm to 159 μm    ,0.21 to 0.159                   
200 μm              ,0.2                             
212 ± 4 μm          ,0.212 ± 0.004                   
5 microns           ,0.005                           
5 μm                ,0.005                           
much larger than bubble size ,N/A                 
50 μm               ,0.05                            
w                   ,N/A                             
200 μm              ,0.2                             
50 μm               ,0.05                            
100 μm              ,0.1                             
tens of microns     ,N/A                             
orifice diameter smaller than bubbles ,N/A                             
a few microns       ,N/A                             
400 μm              ,0.4                             
w                   ,N/A                             
400 μm         ,0.4                  
400 μm         ,0.4                  
w_c            ,N/A                  
wc             ,N/A                  
wc             ,N/A                  
400 μm              ,0.4                             
"equal to channel width, equal to channel width, less than channel width ","N/A, N/A, N/A "
200 µm ,0.2 
200 µm ,0.2 
750 μm         ,0.75                  
180 μm         ,0.18                  
530 μm    ,0.53      
100 μm         ,0.1                   
100 μm         ,0.1                   
100 μm ,0.1 
100 μm ,0.1 
0.15 mm (I.D. of micro-disperser) ,0.15 
w              ,N/A                   
"['150 μm', '250 μm', '500 μm'] ","[0.15, 0.25, 0.5] "
200 µm         ,0.2                  
400 µm         ,0.4                  
400 µm         ,0.4                  
100 μm         ,0.1                  
400 µm              ,0.4                             
400 µm              ,0.4                             
400 µm              ,0.4                             
200 μm         ,0.2            
200 μm         ,0.2            
"800 μm (type 1, 2, 3) ",0.8                           
1000 μm (type 4)    ,1.0                             
microchannel size   ,N/A                             
"['600 μm (type 1, 2, 3)', '700 μm (type 4)'] ","[0.6, 0.7] "
75 μm          ,0.075                
d                   ,N/A                             
macroscopic size    ,N/A                             
3 mm                ,3                               
wide           ,N/A                  
wide                  ,N/A                     
"['wide', 'narrow']    ","['N/A', 'N/A']          "
long           ,N/A                  
40 μm          ,0.04                 
50 μm          ,0.05                 
40 μm          ,0.04                 
85 µm      ,0.085     
50 µm                  ,0.05                  
1500 µm and more       ,1.5                   
100 µm         ,0.1                  
25 µm          ,0.025                
40 µm     ,0.04           
40 μm                            ,0.04                  
"['30 μm', '15 μm', '10 μm']      ","[0.03, 0.015, 0.01]   "
100 µm                           ,0.1                   
800 μm         ,0.8                  
100 μm         ,0.1                   
wc             ,N/A                   
w              ,N/A                   
50 µm          ,0.05                  
wd             ,N/A                   
25 µm          ,0.025                 
wc             ,N/A                   
200            ,0.2                   
wc             ,N/A                   
wd             ,N/A                   
50             ,0.05                  
2 mm           ,2                     
2 mm           ,2                     
300 μm         ,0.3                   
Wdiscrete      ,N/A                    
24 mm          ,24                     
600 μm         ,0.6                  
100 microns    ,0.1                  
600 μm         ,0.6                   
Wwater        ,N/A       
Woil           ,N/A                   
"['245 μm', '320 μm']   ","[0.245, 0.32]        "
"['245 μm', '320 μm']   ","[0.245, 0.32]        "
320 μm ID              ,0.32                 
"['245 μm', '320 μm']  ","[0.245, 0.32]        "
320 μm               ,0.32                 
245 μm ID             ,0.245                
390.0 µm            ,0.39                            
Wj                  ,N/A                             
600 μm         ,0.6                   
30 lu          ,N/A                   
600 μm         ,0.6                   
600 μm         ,0.6                  
300 µm              ,0.3                             
"['100 μm', '100–300 μm', '100–300 μm'] ","[0.1, '0.1–0.3', '0.1–0.3'] "
200 μm ,0.2 
1580 μm        ,1.58                   
800 μm              ,0.8                             
111 ,0.111 
118 ,0.118 
0.5 mm ,0.5 
50 to 300 μm          ,0.05 to 0.3            
wc                    ,N/A                    
wc                    ,N/A                    
100 μm                ,0.1                    
"['100 μm', '50 μm']   ","['0.1', '0.05']        "
variety               ,N/A                    
decreasing            ,N/A                    
100                   ,0.1                    
wd                       ,N/A                   
wd                       ,N/A                   
100 μm                   ,0.1                   
"['100 μm', '50 μm']      ","[0.1, 0.05]           "
['50 μm']                ,[0.05]                
100                      ,0.1                   
150 µm ,0.15 
50 µm ,0.05 
150 µm              ,0.15                       
600 μm               ,0.6                  
600 μm               ,0.6                  
1.5 mm               ,1.5                  
1.5 mm               ,1.5                  
"[5 mm, 10 mm]        ","[5, 10]              "
600 μm               ,0.6                  
685 μm ID     ,0.685                
150 μm        ,0.150                
60 mm         ,60                   
150 μm ID      ,0.15                  
100 μm         ,0.1                  
30 μm          ,0.03                 
100 μm         ,0.1                   
100 μm         ,0.1                   
100 μm         ,0.1                   
100 μm         ,0.1                   
"['100', '100'] ","[0.1, 0.1]               "
"['50', '100']  ","[0.05, 0.1]                     "
'125-250 μm'      ,0.125-0.25            
'1600 μm'         ,1.6                   
"['100', '100', '50', '100'] ","[0.1, 0.1, 0.05, 0.1] "
125-250 μm          ,0.125-0.25                      
"['50', '100', '50', '50'] ","[0.05, 0.1, 0.05, 0.05] "
varying                       ,N/A                   
varies                        ,N/A                   
100 µm                        ,0.1                   
"['50 µm', '100 µm']           ","[0.05, 0.1]           "
100 µm                        ,0.1                   
100 μm                        ,0.1                   
100 μm                        ,0.1                   
"['90 µm', '70 µm', '50 µm']   ","[0.09, 0.07, 0.05]    "
"['50 μm', '100 μm']           ","[0.05, 0.1]           "
100 μm                        ,0.1                   
"['50 µm', '100 µm', '70 µm']  ","[0.05, 0.1, 0.07]     "
100 μm                        ,0.1                   
"['50 μm', '100 μm']           ","[0.05, 0.1]           "
"['Wd', 'SC1', 'SC2']","['N/A', 'N/A', 'N/A']          "
50 µm to 100 µm     ,"[0.05, 0.1]                     "
50 µm               ,0.05                            
50 µm               ,0.05                            
"['50 μm', '100 μm'] ","[0.05, 0.1]                     "
50 µm to 100 µm     ,"[0.05, 0.1]                     "
"['100 µm', '50 µm'] ","[0.1, 0.05]                     "
50 µm               ,0.05                            
50 µm               ,0.05                            
equal in sections A and B ,N/A                     
"['50 μm', '100 μm'] ","[0.05, 0.1]                     "
50 µm               ,0.05                            
1 mm i.d.                                                         ,1                    
corresponds to the hydraulic diameter of the experimental T-junction ,N/A                  
10 mm                                                             ,10                   
1 mm i.d.           ,1                               
1 mm                ,1                               
100 μm         ,0.1                   
100 μm         ,0.1                   
100 μm                 ,0.1                  
100 μm                 ,0.1                  
500μm                  ,0.5                  
800μm                  ,0.8                  
whole channel width    ,N/A                  
50 μm               ,0.05                            
250μm               ,0.25                            
800μm               ,0.8                             
10-100 μm or 1 mm   ,"[0.01-0.1, 1]                   "
w                   ,N/A                             
1 mm                 ,1                               
1 mm          ,1                    
m              ,N/A                  
1 mm           ,1                    
b              ,N/A                  
100 μm              ,0.1                            
diameter of the pore ( _D_ 0) ,N/A                  
100 µm         ,0.1                  
125 µm         ,0.125                
40 µm          ,0.04                 
440 µm         ,0.44                 
w                                ,N/A                   
"['100 µm', '100 µm', '100 µm']   ","[0.1, 0.1, 0.1]       "
"['50 µm', '100 µm', '150 µm'] ","[0.05, 0.1, 0.15] "
620 μm         ,0.62                  
120 Lu         ,N/A                  
600 l.u.       ,N/A                  
wc             ,N/A                  
20 μm          ,0.02                 
120 Lu              ,N/A                             
80 l.u.             ,N/A                             
wd                  ,N/A                             
200 lattice units                ,N/A                  
20                               ,0.02                 
"dbc¯, dbd¯, dfe¯                 ",N/A                  
"['20', '11'] ","[0.02, 0.011] "
"dfd¯, ddg¯ ",N/A 
400 μm         ,0.4                   
l              ,N/A                   
T-junction microchannel with step structure and inclined side microchannel ,N/A 
200 μm              ,0.2                             
w                   ,N/A                             
100–300 µm          ,"[0.1, 0.3]                      "
0.33 ≤ win/w ≤ 3    ,N/A                             
w                   ,N/A                             
400 μm ,0.4 
wc ,N/A 
wc ,N/A 
w0 ,N/A 
wor ,N/A 
"['60 μm', '50 μm']             ","[0.06, 0.05]           "
"['60 μm', '30 μm']             ","[0.06, 0.03]           "
15 to 200 μm                   ,0.015 to 0.2           
130 μm                         ,0.13                   
fixed by the electrodes width  ,N/A                    
500 µm                         ,0.5                    
6 to 7 (width-to-height ratio above 2) ,6 to 7 
"['60 μm', '85 μm']  ","[0.06, 0.085]                   "
100 µm ,0.1 
1.58 mm ,1.58 
<10 µm ,0.01 
200 µm ,0.2 
690 μm        ,0.69                            
100 μm        ,0.1                  
w_c           ,N/A                  
100 μm              ,0.1                             
partially blocks the main channel ,N/A                 
2 mm ,2 
W ,N/A 
6.4 mm              ,6.4                             
51 μm               ,0.051                           
102 and 204 μm      ,"[0.102, 0.204]                  "
204 μm              ,0.204                           
204 μm              ,0.204                           
204 μm              ,0.204                           
204 μm              ,0.204                           
102 μm              ,0.102                           
32 μm               ,0.032                           
70 μm               ,0.07                            
102 μm              ,0.102                           
nozzle diameter     ,N/A                             
"['0.204 mm', '0.102 mm', '0.051 mm'] ","[0.204, 0.102, 0.051] "
51 μm               ,0.051                           
204 μm              ,0.204                           
204 μm              ,0.204                           
204 μm              ,0.204                           
204 μm              ,0.204                           
204 μm              ,0.204                           
"102 μm, 204 μm      ","[0.102, 0.204]                  "
"['204 μm', '102 μm', '51 μm'] ","[0.204, 0.102, 0.051] "
200 μm         ,0.2                  
240 μm         ,0.24                 
W              ,N/A                  
240 μm         ,0.24                 
200 μm              ,0.2                            
750 μm              ,0.75                            
'50 to 300 µm'      ,'0.05 to 3'                     
"['500 µm', '1 mm']  ","['0.5', '1']                    "
'W'                 ,'N/A'                           
'1 mm'              ,'1'                             
"['500 µm', '1 mm']  ","['0.5', '1']                    "
"['500 µm', '1 mm']  ","['0.5', '1']                    "
'1 mm'              ,'1'                             
'500 µm and 1 mm'   ,'0.5 and 1'                     
"['500 µm', '1 mm']  ","['0.5', '1']                    "
"['500 µm', '1 mm']  ","['0.5', '1']                    "
"['500 µm', '1 mm']  ","['0.5', '1']                    "
"['500 µm', '1 mm']  ","['0.5', '1']                    "
"['500 µm', '1 mm']  ","['0.5', '1']                    "
'W'                 ,'N/A'                           
"['500 µm', '1 mm'] ","[0.5, 1] "
1 mm ,1 
"['500 µm', '1 mm'] ","[0.5, 1] "
"['500 µm', '1 mm'] ","[0.5, 1] "
W ,N/A 
W ,N/A 
"['500 µm', '1 mm'] ","[0.5, 1] "
a few tens to a few hundreds of micrometers ,N/A 
W                   ,N/A                            
W                   ,N/A                            
W                   ,N/A                            
W/H=4.07            ,N/A                            
W                   ,N/A                            
W                   ,N/A                            
W                   ,N/A                            
"['2010 μm', '1510 μm', '955 μm', '752 μm', '501 μm'] ","[2.01, 1.51, 0.955, 0.752, 0.501] "
E             ,N/A                  
400 μm        ,0.4                  
300 µm         ,0.3                  
80 µm          ,0.08                 
100 μm         ,0.1                  
'w'            ,'N/A'                
508 μm         ,0.508                
"['20 μm', '30 μm', '40 μm'] ","[0.02, 0.03, 0.04]    "
2 μm                                  ,0.002                 
"['40 μm', '80 μm', '160 μm']          ","[0.04, 0.08, 0.16]    "
"['195 μm', '390 μm']    ","[0.195, 0.39]         "
w               ,N/A                  
50 μμm          ,N/A                  
50μm            ,0.05                 
25μm           ,0.025                
0.75 mm         ,0.75                  
0.75 mm        ,0.75                  
2 mm           ,2                     
100 μm         ,0.1                   
260 μm         ,0.26                  
30 μm        ,0.03           
30 μm        ,0.03           
30 μm        ,0.03           
60 μm        ,0.06           
60 μm        ,0.06           
20 μm                      ,0.02                 
matches microchannel       ,N/A                  
600 µm         ,0.6                   
600 µm         ,0.6                   
wCP            ,N/A                  
40 μm          ,0.04                 
100 μm         ,0.1                  
20 μm          ,0.02                 
40 μm    ,0.04      
50 μm    ,0.05      
20 μm    ,0.02      
"['300 μm', '500 μm']  ","[0.3, 0.5]            "
100 μm                 ,0.1                  
50 and 100 μm           ,"[0.05, 0.1]          "
100 μm                 ,0.1                  
100 μm                 ,0.1                  
100 μm                 ,0.1                  
100 μm                 ,0.1                  
100 μm                 ,0.1                  
"['100 μm', '50 μm']     ","[0.1, 0.05]          "
20 μm               ,0.02                  
"10, 20 and 50 μm     ","0.01, 0.02, 0.05      "
20 μm               ,0.02                  
"['20 μm', '10 μm']   ","[0.02, 0.01]          "
10 μm                ,0.01                  
20 μm                ,0.02                  
wd                   ,N/A                   
10 μm                ,0.01                  
0.25–3 mm           ,0.25–3                           
1 mm                ,1                                
1 mm           ,1                    
200 μm ,0.2 
750 μm ,0.75 
w ,N/A 
750 μm              ,0.75                       
hydraulic diameter     ,N/A                   
m              ,N/A                  
w              ,N/A                  
0.8 mm         ,0.8                  
w              ,N/A                  
wc             ,N/A                   
wd            ,N/A                  
400 μm                          ,0.4                    
"['800 μm', '594 μm', '200 μm', '50 μm', '400 μm', '400 μm'] ","[0.8, 0.594, 0.2, 0.05, 0.4, 0.4] "
varies as smaller channel width leads to smaller bubble size ,N/A                     
400 μm        ,0.4                  
decreasing size inhibits satellite droplets       ,N/A                  
500 μm ,0.5 
"['500 μm', '200 μm'] ","[0.5, 0.2] "
"['200-μm', '100-μm'] ","[0.2, 0.1] "
200 μm                 ,0.2                   
"['500 μm', '200 μm']   ","[0.5, 0.2]            "
narrow                 ,N/A                   
narrow                 ,N/A                   
100 μm             ,0.1                  
w                  ,N/A                  
200 × 10−6         ,0.02                 
"['105 × 10−6', '27.5 × 10−6', '150 × 10−6', '(65–375)×10−6'] ","[0.105, 0.0275, 0.15, (0.065–0.375)] "
100 μm ,0.1 
100 μm         ,0.1                   
200 μm         ,0.2                    
W_c            ,N/A                    
increases      ,N/A                    
w              ,N/A                    
400 μm         ,0.4                   
W_d            ,N/A                   
larger         ,N/A                   
1.6 mm        ,1.6                  
800 μm        ,0.8                  
800 μm        ,0.8                  
0.8 mm        ,0.8                  
"['0.8 mm to 2 mm', '0.8 mm to 1.6 mm'] ","['0.8 to 2', '0.8 to 1.6'] "
800 μm                             ,0.8                     
800 μm                             ,0.8                     
2 mm                               ,2                       
2 mm                               ,2                       
0.1 mm         ,0.1                  
0.1 mm         ,0.1                  
0.1 mm ,0.1 
internal diameter of microchannel 500 μm ,0.5 
600 μm         ,0.6                   
600 μm         ,0.6                   
'120 \\(\\mu\\)m'   ,0.12                           
w               ,N/A                  
100 µm          ,0.1                  
1000 µm         ,1                    
1000 µm         ,1                    
wc            ,N/A                  
100μm         ,0.1                  
60μm ,0.06 
100 μm              ,0.1                             
100 μm              ,0.1                             
200 µm              ,0.2                             
200 μm         ,0.2                   
400 μm                                ,0.4                   
400 μm                                ,0.4                   
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
varying                               ,N/A                   
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
100 to 400 μm                         ,N/A                   
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"100 μm, 200 μm, 300 μm, 400 μm        ","[0.1, 0.2, 0.3, 0.4]  "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"['100 μm', '200 μm', '300 μm']        ","[0.1, 0.2, 0.3]       "
"200, 300, and 400 μm                  ","[0.2, 0.3, 0.4]       "
400 μm                                ,0.4                   
"['100 μm', '300 μm']                  ","[0.1, 0.3]            "
"['100 μm', '200 μm', '300 μm', '400 μm'] ","[0.1, 0.2, 0.3, 0.4] "
400 μm                             ,0.4                       
100 to 300 μm                      ,0.1 to 0.3                
"['100 μm', '200 μm', '300 μm']     ","[0.1, 0.2, 0.3]           "
200 μm                             ,0.2                       
"['100 μm', '200 μm', '300 μm', '400 μm'] ","[0.1, 0.2, 0.3, 0.4]   "
400 μm                             ,0.4                       
400 μm                             ,0.4                       
400 μm                             ,0.4                       
400 μm                             ,0.4                       
400 μm                             ,0.4                       
200 μm                             ,0.2                       
100 μm       ,0.1                   
w_c           ,N/A                   
100 μm       ,0.1                   
100 μm       ,0.1                   
w_d            ,N/A                   
wd/2           ,N/A                   
200 μm         ,0.2                   
90 μm ,0.09 
W              ,N/A                  
w              ,N/A                  
100 µm             ,0.1                  
500 μm             ,0.5                  
100 μm             ,0.1                  
200 micrometers    ,0.2                  
500 μm             ,0.5                  
200 μm             ,0.2                  
200 µm             ,0.2                  
100 μm             ,0.1                  
200 μm             ,0.2                  
200 µm             ,0.2                  
100 µm             ,0.1                  
200 μm             ,0.2                  
100 µm             ,0.1                  
100 µm ,0.1 
200 µm ,0.2 
35 μm               ,0.035                           
wider than that for the dispersed phase ,N/A     
120 μm              ,0.12                            
,N/A                             
120                  ,0.12                            
300 μm              ,0.3                             
w c                 ,N/A                             
_w c_               ,N/A                             
35 μm         ,0.035                
,N/A                  
286 ± 6 μm         ,0.286                           
200 μm              ,0.2                             
200 μm              ,0.2                             
"['20', '45', '135', '160'] ","['0.02', '0.045', '0.135', '0.16'] "
185 ± 5 μm          ,0.185                           
0.25 mm             ,0.25                            
W_M                 ,N/A                             
WM                   ,N/A                             
A_J                 ,N/A                             
200-250 μm          ,"[0.2, 0.25]                     "
114 to 460 μm       ,"[0.114, 0.46]                   "
400 μm         ,0.4                  
200 μm         ,0.2                  
750 μm         ,0.75                 
750 μm         ,0.75                 
200 μm         ,0.2                  
390 μm         ,0.39                 
250 μm         ,0.25                 
400 μm         ,0.4                  
460 μm        ,0.46                 
750 μm        ,0.75                 
400 μm        ,0.4                  
100 μm         ,0.1                  
100 μm              ,0.1                            
50 μm               ,0.05                           
0.3 mm        ,0.3                  
300 μm        ,0.3                  
0.3 mm                                                                              ,0.3                
300 μm                                                                              ,0.3                
decrease of the neck width with the increase of SiO2 amount                         ,N/A                
decreases                                                                           ,N/A                
200 μm        ,0.2                  
300 μm        ,0.3                  
W             ,N/A                  
W             ,N/A                  
300 μm        ,0.3                  
W             ,N/A                  
W             ,N/A                  
100 μm        ,0.1                  
w             ,N/A                  
100μm         ,0.1                  
0.5 (ratio)   ,N/A                  
600μm         ,0.6                  
600μm         ,0.6                  
33 mm         ,33                   
100μm         ,0.1                  
600μm         ,0.6                  
220 µm         ,0.22                 
w              ,N/A                  
221 μm         ,0.221                
90 µm          ,0.09                 
90 μm          ,0.09                 
_R_ _c_       ,N/A                  
"['0.5 mm', '1 mm'] ","[0.5, 1]        "
275 μm                           ,0.275             
comparable to drops or plugs     ,N/A               
narrow                           ,N/A               
"['0.1 mm', '40 μm']              ","[0.1, 0.04]       "
12.7 mm                          ,12.7              
30 μm                            ,0.03              
12.7 mm                          ,12.7              
27.5 μm                              ,0.0275           
8.9 μm                               ,0.0089           
5 μm                                 ,0.005            
10-μm aperture size                  ,0.01             
"2 μm, 10 μm                          ","0.002, 0.01      "
2-μm                                 ,0.002            
"['0.1 μm', '0.5 μm', '2 μm', '10 μm']","[0.0001, 0.0005, 0.002, 0.01] "
"['390 µm', '195 µm']             ","['0.39', '0.195']      "
"wc1, wc2                                      ",N/A              
wc                                             ,N/A              
wc1 is unequal to wc2                         ,N/A              
100μm                                         ,0.1              
fixed                                         ,N/A              
"['wc1 (T-junction)', 'wc (symmetric T-junction)'] ","['N/A', 'N/A']   "
various                                       ,N/A              
"['0.6', '1.0', '1.4']                         ","['0.6', '1.0', '1.4'] "
0.6 to 1.4                                    ,N/A              
various channel width ratios                  ,N/A              
wd                    ,N/A                            
wd                    ,N/A                            
variable              ,N/A                            
varies with Z         ,N/A                            
