0.1147 Pa s    ,0.1147                      
high           ,N/A                           
increases with cellulose concentration          ,N/A                   
high           ,N/A                           
"['45.6 mPa·s', '89.8 mPa·s', '151.9 mPa·s']   ","[0.0456, 0.0898, 0.1519]        "
100 mPa s      ,0.1                       
"['viscosity of oil 1', 'viscosity of oil 2', 'viscosity of oil 3'] ","['N/A', 'N/A', 'N/A'] "
viscous                              ,N/A                        
high ,N/A 
μD ,N/A 
['4.6 to 73'] ,[0.0388] 
['low viscosity ratio to continuous phase'] ,N/A 
25.13 mPa·s      ,0.02513                   
25.13            ,0.02513                   
High viscosity in one study; low viscosity in another study ,N/A 
effects of two-phase viscosity mentioned ,N/A 
"['0.89 mPa·s', '1.65 mPa·s', '4.88 mPa·s'] ","[0.00089, 0.00165, 0.00488] "
0.04 < λ < 0.19 ,0.115 
λ ,N/A 
"['0.07', '0.19'] ","[0.00007, 0.00019] "
"['relatively low', 'relatively high'] ",N/A 
Different viscosities  ,N/A                   
μ_c                    ,N/A                   
μ_d ,N/A 
"['1.50 to 2.38 mPa·s', '1.58 to 1.61 mPa·s'] ","[0.00194, 0.001595] "
"['large apparent viscosity', 'lower viscosity for the non-Newtonian than Newtonian at similar viscosities'] ","[N/A, N/A] "
Two different viscosities: Newtonian and non-Newtonian ,N/A 
0.97 mPa s     ,0.00097                      
μW             ,N/A                          
decreases with time                         ,N/A                        
0.001 to 6 Pa s                             ,3.0005                     
increases with chitosan concentration       ,N/A                        
"['0.001 Pa s', '1.5 Pa s']                  ","[0.001, 1.5]               "
high                                        ,N/A                        
non-Newtonian       ,N/A                          
varies with chitosan concentration ,N/A          
4.37 ± 0.13 Pa s    ,4.37                         
μ              ,N/A                        
μ              ,N/A                        
varies with the shear rate and the flow rate ,N/A 
relatively small    ,N/A                          
μc                  ,N/A                          
μc                  ,N/A                          
varies with the shear rate and the flow rate ,N/A 
μd = K ·γ̇ n –1 ,N/A 
increases with CMC concentration ,N/A 
μdi ,N/A 
shear-thinning ,N/A 
similar ,N/A 
Increases with CMC concentration ,N/A 
increases with CMC concentration ,N/A 
μd ,N/A 
μd ,N/A 
"relatively small, different, similar, shear-thinning property not contributing to droplet size difference ",N/A 
identical during thread deformation ,N/A 
1.002 mPa·s    ,0.001002                   
350 cP         ,0.35                       
μ              ,N/A                        
350 cP         ,0.35                       
10 mPa.s       ,0.01                       
increase       ,N/A                        
10 mPa·s       ,0.01                      
1 mPa.s        ,0.001                     
3 cP                         ,0.003                     
"[4.1 cP (FC40), 1.2 cP (HFE 7500)] ","[0.0041, 0.0012]     "
48 mPa·s                     ,0.048                     
0.9 cP                       ,0.0009                    
"['3 cP', '16 cP'] ","[0.00003, 0.00016] "
'1 mPa·s' ,0.001 
"increases with flow rate, decreases with shear rate, increases with concentration of CMC ",N/A 
10.16 mPa·s ,0.01016 
"high, increases with CMC concentration ",N/A 
μc ,N/A 
μc ,N/A 
μ ,N/A 
μc ,N/A 
0.95 ,0.00095 
changes with the shear rate ,N/A 
increases with CMC concentration ,N/A 
increases with concentration of CMC ,N/A 
"high, increases with CMC concentration ",N/A 
['increases with concentration of CMC'] ,['N/A'] 
increases with flow rate ratio ,N/A 
μd ,N/A 
"['μd', 'K(Qd/2W3)n-1'] ","['N/A', 'N/A'] "
ranges from 0.65 to 3.57 ,2.11 
μd ,N/A 
decreases as CMC is added ,N/A 
higher concentrations of shear-thinning non-Newtonian fluids tend to have higher viscosities ,N/A 
10.16 ,0.01016 
"['3.6 mPa s', '5.5 mPa s'] ","[0.0036, 0.0055] "
1.5 times viscosity of dispersed phase ,N/A 
1.5                 ,1.5                          
"['less viscous', 'more viscous'] ",N/A 
O(1)                ,N/A                          
'3.3 mPa s'                             ,0.0033                     
'almost equal to continuous phase'       ,'N/A'                      
12 mPa.s       ,0.012                      
low            ,N/A                        
high           ,N/A                        
high           ,N/A                        
0.894          ,0.894                      
low ,N/A 
low ,N/A 
lower than castor oil ,N/A 
"['0.820', '110', '650'] ","['0.00082', '0.11', '0.65'] "
"Measured, but specific values not provided ",N/A 
μ                                              ,N/A                   
increases with particle concentration         ,N/A                   
μG                  ,N/A                   
μO                   ,N/A                   
μo                   ,N/A                   
μ ,N/A 
highly viscous ,N/A 
"['8.9 mPa·s', '240.5 mPa·s'] ","[0.0089, 0.2405] "
increased ,N/A 
provided ,N/A 
same ,N/A 
"['0.92 to 10.18 mPa·s', '1 to 1000 mPa·s', '0.73 mPa·s', '1.2 to 30 mPa·s', '1172 mPa·s'] ","[0.0055, 0.5, 0.00073, 0.0156, 1.172] "
constant ,N/A 
"['8.9 mPa·s', '17.5 mPa·s', '45.6 mPa·s'] ","[0.0089, 0.0175, 0.0456] "
fixed ,N/A 
"['1 mPa·s', '6.53 mPa·s', '240.5 mPa·s'] ","[0.001, 0.00653, 0.2405] "
"['8.9 mPa.s', '17.5 mPa.s'] ","[0.0089, 0.0175] "
increases ,N/A 
increased viscosity ,N/A 
"[8.9, 17.5, 45.6, 89.8, 151.9, 240.5] ","[0.0089, 0.0175, 0.0456, 0.0898, 0.1519, 0.2405] "
high viscosity                ,N/A                        
viscosity studied             ,N/A                        
low                           ,N/A                        
highly viscous                ,N/A                        
high                          ,N/A                        
dominating viscous force      ,N/A                        
high viscosity ,N/A 
low ,N/A 
highly viscous ,N/A 
"['24.63', '2.439'] ","[0.02463, 0.002439] "
high ,N/A 
increases; higher viscosity requires greater shear stress for transition to jetting ,N/A 
important in pinching-off ,N/A 
viscous force ,N/A 
μ_c            ,N/A                        
increases           ,N/A                          
varied              ,N/A                          
dispersed viscosity influence is negligible ,N/A 
influenced by the viscosity due to the different viscous resistance stresses ,N/A 
"['influenced by', 'larger'] ","['N/A', 'N/A'] "
dynamic viscosity provided but no numeric value ,N/A 
ηc ,N/A 
constant ,N/A 
"['1.95 mPa s', '100 mPa s'] ","[0.00195, 0.1] "
100 mPa s ,0.1 
100 mPa s ,0.1 
1.95 mPa s ,0.00195 
η c ,N/A 
η c ,N/A 
constant            ,N/A                          
1 mPa s             ,0.001                        
1 mPa s             ,0.001                        
6.7 mPa s           ,0.0067                       
η d                 ,N/A                          
η d                 ,N/A                          
increases with BSA concentration ,N/A 
constant ,N/A 
"['1.21 ± 2.12', '1.43 ± 0.78', '1.64 ± 1.20', '1.43 ± 0.82', '1.44 ± 0.64', '1.45 ± 0.78', '1.46 ± 0.83', '1.46 ± 0.73', '1.48 ± 0.86'] ","[0.00121, 0.00143, 0.00164, 0.00143, 0.00144, 0.00145, 0.00146, 0.00146, 0.00148] "
material viscosities,N/A                          
1 cP                                                                        ,0.001               
1 cP                                                                        ,0.001               
higher in 50% (v/v) ferrofluid than 10% (v/v) ferrofluid                     ,N/A                 
less viscous                                                                ,N/A                 
1 cP                                                                        ,0.001               
η                                                                           ,N/A                 
"['6.927 cP', '30.5 cP'] ","[0.006927, 0.0305] "
10 cP ,0.01 
10 cP ,0.01 
26 mPa s            ,0.026                        
5 mPa s             ,0.005                        
"solvent, mPa s ",N/A 
ηd ,N/A 
5.2 × 10−4 Pa.s ,5.2e-4 
"[5.1, 5.26, 5.28, 5.24] ","[0.0051, 0.00526, 0.00528, 0.00524] "
μL                  ,N/A                          
μL                  ,N/A                          
"['0.81 mPa.s', '0.82 mPa.s', '0.87 mPa.s', '0.85 mPa.s'] ","[0.00081, 0.00082, 0.00087, 0.00085] "
μL                  ,N/A                   
μL                  ,N/A                   
high viscosity                                                       ,N/A                        
Low                                                                  ,N/A                        
Uμ                                                                   ,N/A                        
μc                                                                   ,N/A                        
μc                                                                   ,N/A                        
"μe,c                                                                 ",N/A                        
larger τc leads to more likely jetting regime                        ,N/A                        
low                                                                  ,N/A                        
0.0010                                                               ,0.0010                     
Herschel-Bulkley (H-B) constitutive equation ,N/A 
"['increased dispersed phase viscosity', 'high viscosity'] ",N/A 
"['ΔP sq', 'τ μ'] ",N/A 
"μe,d ",N/A 
"['48 Pa', '114 Pa'] ",N/A 
"high when resistance is high, low when resistance is low ",N/A 
"['0.0009', '0.4298', '3.2910', '4.9010'] ","['0.0000009', '0.0004298', '0.003291', '0.004901'] "
μ_c = 0.001 Pa.s    ,0.001                 
μ_d = 0.005 Pa.s      ,0.005               
N∙s/m2         ,N/A                        
250 mPa s−1          ,0.25                        
1.24 mPa·s      ,0.00124         
7.00 mPa·s     ,0.007                       
μ              ,N/A                         
['0.2']        ,[0.0002]                    
"['1', '5', '10'] ","[0.001, 0.005, 0.01]      "
higher ,N/A 
increased due to phosphate acid          ,N/A                        
increase leads to augmentation of bubble formation period ,N/A 
"['increases', 'decreases with increase of liquid flow rate and viscosity'] ","['N/A', 'N/A'] "
increases affects bubble volume negatively for monodispersity ,N/A 
increases           ,N/A                           
low                 ,N/A                           
increases with the concentration of glycerol    ,N/A                        
increases with time                             ,N/A                        
minor compared to liquid                        ,N/A                        
23.1 mPa s      ,0.0231                      
low to medium  ,N/A                           
8.74 mPa s     ,0.00874                       
35 mPa s       ,0.035                       
2 mPa s ,0.002 
less than 5.0 mPa·s ,0.0025 
1.0 mPa·s ,0.001 
"['45.6 mPa·s', '240.5 mPa·s'] ","[0.0456, 0.2405] "
highly viscous liquid ,N/A 
high ,N/A 
high ,N/A 
"['45.6 mPa·s', '89.8 mPa·s'] ","[0.0456, 0.0898] "
"increases with flow rate, significantly increases with viscosity ",N/A 
"['45.6', '89.8', '240.5'] ","[0.0456, 0.0898, 0.2405] "
"['1.38-4.82', '1.51-3.04', '1.00'] ","[0.0031, 0.002275, 0.001] "
1.0 mPa·s                     ,0.001                 
negligible for water          ,N/A                   
"['1.0 mPa·s', '240.5 mPa·s', '8.9 mPa·s'] ","[0.001, 0.2405, 0.0089] "
"['114.7 mPa∙s at 20 °C', '85.1 mPa∙s at 25 °C'] ","[0.1147, 0.0851]     "
μ                                         ,N/A                   
1cP                                       ,0.001                 
10cP           ,0.01                       
"['1.426', '1.0274', '0.963']      ","[0.001426, 0.0010274, 0.000963] "
"['3.364', '0.734', '0.584']        ","[0.003364, 0.000734, 0.000584]"
'μC'           ,'N/A'                 
low            ,N/A                        
high           ,N/A                        
low            ,N/A                        
1.8            ,0.0018                     
"['η1', 'η2'] ",N/A 
high ,N/A 
"['1', '0.9'] ","['0.001', '0.0009'] "
ηoil             ,N/A                          
26.06 mPa s      ,0.02606                      
0.91 mPa s      ,0.00091                     
1.005 mPa s                              ,0.001005            
2                                        ,0.002               
0.167                                    ,0.000167            
μ_c                                      ,N/A                 
0.167                                    ,0.000167            
2                                        ,0.002               
2                                        ,0.002               
2                                        ,0.002               
Variable; the ratio μc/μd is 2           ,N/A                 
2                                        ,0.002               
1                                        ,0.001               
1                    ,N/A                  
μ_d                  ,N/A                  
μc / μd =2           ,N/A                  
higher               ,N/A                  
high                ,N/A                          
high                ,N/A                          
liquid phase viscosity ,N/A                    
increases           ,N/A                          
highly viscous fluids ,N/A                      
"['45.6 mPa·s', '89.8 mPa·s', '151.9 mPa·s', '240.5 mPa·s'] ","[0.0456, 0.0898, 0.1519, 0.2405] "
highly viscous fluids ,N/A                      
"['45.6 mPa·s', '240.5 mPa·s'] ","[0.0456, 0.2405]  "
151.9 mPa·s        ,0.1519                      
'2-pentOH has the highest kinematic viscosity and EtAc the lowest'                                     ,N/A                   
"['4.90 x 10–7', '4.27 x 10–6', '7.29 x 10–7', '1.00 x 10–6']                                           ","['4.9e-10', '4.27e-09', '7.29e-10', '1e-09'] "
1 cP           ,0.001                       
0.89           ,0.00089                     
"['50 cP', '500 cP'] ","[0.05, 0.5] "
30.30 ,30.30 
adjustable                  ,N/A                       
Water viscosity (η0)        ,N/A                       
adjustable                                         ,N/A                      
increases with concentration                       ,N/A                      
"['13.2 mPa s', '24 mPa s']                         ","[0.0132, 0.024]          "
"['13.2 mPa s for DCM', '24 mPa s for chloroform']  ","[0.0132, 0.024]          "
"['higher for chloroform', 'lower for DCM']         ",N/A                      
Calculated through noted equations                 ,N/A                      
higher for chloroform compared to DCM              ,N/A                      
"['13.2', '1.3', '0.8', '24', '4.9', '1.2']         ","[0.0132, 0.0013, 0.0008, 0.024, 0.0049, 0.0012] "
1.004 mPa s    ,0.001004                   
7.36 mPa s ,0.00736 
μ1             ,N/A                         
0.01Pa•s       ,0.01                        
0.01Pa•s       ,0.01                        
0.01Pa•s       ,0.01                        
0.01Pa•s       ,0.01                        
0.01           ,0.01                        
viscosity of dispersed phase                                        ,N/A                             
μ2                                                                  ,N/A                             
0.001Pa•s                                                           ,0.001                           
0.001Pa•s                                                           ,0.001                           
"['0.001Pa•s', '0.0016Pa•s', '0.0022Pa•s', '0.0029Pa•s', '0.0036Pa•s'] ","[0.001, 0.0016, 0.0022, 0.0029, 0.0036] "
different viscosities                                               ,N/A                             
different viscosities                                               ,N/A                             
['different viscosities']                                           ,['N/A']                         
"['0.001Pa•s', '0.0016Pa•s', '0.0022Pa•s', '0.0029Pa•s', '0.0036Pa•s'] ","[0.001, 0.0016, 0.0022, 0.0029, 0.0036] "
0.001Pa•s                                                           ,0.001                           
higher viscosity makes internal circulation of the droplet difficult,N/A                             
increases                                                          ,N/A                             
0.001                                                              ,0.001                           
7-35 mPa s                                                           ,0.021                      
ηC                                                                   ,N/A                        
ηC                                                                   ,N/A                        
higher viscosity yields shorter interval to restore stable state     ,N/A                        
higher                                                               ,N/A                        
"['7.2 mPa s', '35−40 mPa s']                      ","[0.0072, 0.0375]      "
['more viscous oil leads to longer thread']       ,N/A                   
'7 < μ < 35 mPa s'                                ,0.021                  
"['7.2 mPa s', '35-40 mPa s']                      ","[0.0072, 0.0375]      "
"['7 mPa s', '35 mPa s']                           ","[0.007, 0.035]        "
μ              ,N/A                        
heavy phase                                 ,N/A                        
kinematic viscosity of light phase          ,N/A                        
0.125                                       ,0.000125                   
μc             ,N/A                         
μd             ,N/A                   
μ_c            ,N/A                           
μ_{1}          ,N/A                           
μ_d              ,N/A             
μ_{2}             ,N/A             
increased         ,N/A             
low to high       ,N/A             
0.65 cP         ,0.00065                   
1 cP ,0.001 
μ                   ,N/A                         
5.9 × 10–4          ,5.9e-07                      
μ              ,N/A                        
10–3           ,0.0015                     
10^-3 Pa s     ,0.001                       
η              ,N/A                         
'10^-3 Pa s'        ,0.001                        
'η'                 ,'N/A'                        
'10−3 Pa s'         ,0.001                        
'η d/ η c = 1/2'    ,'N/A'                        
'1/2'               ,'N/A'                        
'1/2'               ,'N/A'                        
"['9.3 ± 0.2', '9.5 ± 0.2', '10 ± 0.3', '13 ± 1']  ","[0.0093, 0.0095, 0.01, 0.013]     "
(0.9–1.5) ×10−3 Pa s,0.0012                
lower               ,N/A                   
under investigation ,N/A                   
10^-5 Pa.s        ,1e-05                 
1.815e-05 Pa.s    ,1.815e-05             
10^-2 Pa.s     ,0.01                        
0.1 Pa.s       ,0.1                         
small               ,N/A                   
ηc                  ,N/A                   
1mPas               ,0.001                 
2.2 mPa s           ,0.0022                
ηd ,N/A 
1mPas ,0.001 
1 mPa s ,0.001 
0.001 Pa.s          ,0.001                 
0.048 Pa.s          ,0.048                 
0.001Pa.s           ,0.001                 
0.001 Pa.s          ,0.001                 
0.001 Pa.s          ,0.001                 
μ(ϕ)=μoil+(μwat−μoil)ϕ ,N/A                       
μ                   ,N/A                         
μ wat               ,N/A                         
8.9e-04             ,0.00089                     
μ oil               ,N/A                          
0.007               ,0.007                        
μ_c                 ,N/A                          
μc                  ,N/A                          
μc                  ,N/A                          
"['7.143 × 10−3', '7.143 × 10−1'] ","[0.007143, 0.7143] "
'Pa.s'              ,'N/A'                 
'μd'                ,'N/A'                 
'μ_d'               ,'N/A'                 
'μd'                ,'N/A'                 
'μd'                ,'N/A'                 
'10−3 Pa.s'         ,0.001                 
η              ,N/A                       
variable       ,N/A                       
η              ,N/A                       
range provided      ,N/A                   
µ ,N/A 
μc             ,N/A                           
higher         ,N/A                       
1.3 mPa·s      ,0.0013                     
36 mPa·s       ,0.036                      
increases      ,N/A                        
1.17 mPa·s     ,0.00117                    
μ=μ1+(μ2−μ1)φ       ,N/A                 
0.075 Pa·s          ,0.075               
0.001 Pa·s      ,0.001                       
low                 ,N/A                 
μ                   ,N/A                 
1 cP                ,0.001               
10^-6 m2s^-1        ,N/A                 
0.01 Pa·s           ,0.01                
μg             ,N/A                    
5 cP           ,0.005                  
0.05 Pa·s      ,0.05                   
μ               ,N/A                        
26 mPa s       ,0.026                      
ηc              ,N/A                        
2 mPa·s ,0.002 
shear rate dependent ,N/A 
multiple viscosities ,N/A 
varies from 2.7 to 1312 s−1 ,N/A 
"['high for G3', 'varied for others'] ","['N/A', 'N/A'] "
"non-Newtonian, shear-thinning ",N/A 
calculated using a power-law model ,N/A 
effective viscosity based on average shear rate ,N/A 
shear rate dependent                                                                      ,N/A                 
shear-thinning                                                                            ,N/A                 
decreased at low shear rates                                                              ,N/A                 
low                                                                                       ,N/A                 
"['high for XG at low rates', 'varies for CMC 0.5% and CMC 1.5%']                          ","['N/A', 'N/A']      "
μ                                                                                         ,N/A                 
"non-Newtonian, shear-thinning                                                             ",N/A                 
high at small flow rates                                                                  ,N/A                 
effective dynamic viscosity                                                               ,N/A                 
['different viscosities']                                                                 ,['N/A']             
effective viscosity based on the average shear rate in a microchannel                     ,N/A                 
6.92 mPas           ,0.00692               
0.37 mPas ,0.00037 
μc             ,N/A                           
μw             ,N/A                           
μw             ,N/A                           
1.005 mPa s    ,0.001005                       
μo                  ,N/A                   
8.93 mPa s          ,0.00893               
['increases with the concentration of TOP'] ,N/A 
μ ,N/A 
"[1.49, 2.41, 3.12] ","[0.00149, 0.00241, 0.00312] "
'constant'          ,'N/A'                        
'μc'                ,'N/A'                        
'10 m Pas'          ,0.01                         
'1.2 mPa.s'         ,0.0012                       
constant            ,N/A                          
μd                  ,N/A                          
1 m Pas             ,0.001                        
10 mPa.s            ,0.01                         
different viscosities ,N/A 
same as dispersed phase or varies ,N/A 
10.11 × 10−3 Pa s ,0.01011 
more viscous liquid ,N/A 
list of significantly dissimilar viscosities ,N/A 
10 times higher than that of water for glycerol solution ,N/A 
same as continuous phase or varies ,N/A 
higher viscosities produce smaller droplets ,N/A 
0.89 × 10−3 Pa s ,0.00089 
higher viscosity ,N/A 
higher ,N/A 
η              ,N/A                         
0.1 Pa s       ,0.1                         
increased by about 30%     ,N/A                        
proprietary    ,N/A                         
μ              ,N/A                         
increased ,N/A 
increased ,N/A 
"['highest in system 2 compared to system 1 and 3', 'higher viscosity leads to droplets of higher volume', 'viscosity difference of the order of 103 between system 1 and system 3'] ","['N/A', 'N/A', 'N/A'] "
effective viscosity refers to Rhodes report                 ,N/A                   
increases with solution concentration                       ,N/A                   
1 cP                                                         ,0.001                 
10 cP          ,0.01                        
35 cp          ,0.035                      
35 cp          ,0.035                      
μc                                                        ,N/A                   
"['77.20', '74.80']                                        ","[0.0772, 0.0748]      "
μd             ,N/A                         
"['1.94', '1.90'] ","['0.00194', '0.00190'] "
μ              ,N/A                          
negligible     ,N/A                         
increasing     ,N/A                         
μ              ,N/A                        
1.0·10-3       ,0.001                      
1.0·10-2 ,0.001 
used in Ca calculation ,N/A 
1.900·10-5 m2/s       ,N/A                 
8.788·10-7 m2/s        ,N/A                 
1 mPa s ,0.001 
0.54 mPa s ,0.00054 
μC ,N/A 
0.54 mPa s ,0.00054 
μC ,N/A 
1.0 mPa s      ,0.001                       
1.0 mPa s      ,0.001                       
"as the viscosity of the continuous phase increase, the droplet length decrease and the frequency increase ",N/A 
μc ,N/A 
μc ,N/A 
μc ,N/A 
0.89 mPa.s ,0.00089 
"['1.3', '9.4'] ","['0.0013', '0.0094'] "
1.0 ,0.001 
μd                         ,N/A                       
μd                         ,N/A                       
μd                         ,N/A                       
"['λ=1.34', 'λ=9.4']        ","['N/A', 'N/A']            "
"['1.34', '9.4']            ","['N/A', 'N/A']            "
"['15 m Pa.s', '1000 m Pa.s'] ","[0.015, 1.000]               "
'λ'                        ,'N/A'                             
higher                            ,N/A                        
"['lowest', 'highest']             ","['N/A', 'N/A']             "
higher for higher oil viscosities ,N/A                        
higher oil viscosities associated with higher Ca             ,N/A                      
μ              ,N/A                         
10 cP          ,0.01                          
1 cP          ,0.001                      
10−2–10−3 Pa s                          ,0.00055                
"['<0.001 Pa s', '>0.1 Pa s']            ","[0.0005, 0.1]          "
low                                     ,N/A                    
low                                     ,N/A                    
"['a few Pa s', 'up to 3.5 Pa s']          ","['N/A', '3.5']             "
≈3.5 Pa s                                 ,3.5                        
3.5 Pa s                                  ,3.5                        
>10−1 Pa s                                ,0.1                        
ultraviscous                              ,N/A                        
ultrahigh                                 ,N/A                        
a few Pa s                                ,N/A                        
high                                      ,N/A                        
['increased at higher temperature']       ,['N/A']                    
High                                 ,N/A                        
1.5393 × 10−3 kg m−1 s−1             ,N/A                        
lower                                ,N/A                        
high                                 ,N/A                        
39.2 × 10−3 kg m−1 s−1                  ,N/A                        
three times as viscous as water ,N/A              
viscous liquid      ,N/A                          
estimated                   ,N/A                          
"['3 mPa s', '>50 mPa s']    ","[0.003, 0.05]                "
low            ,N/A                         
μ1 ,N/A 
"['1.95 × 10−3 Pa s', '0.5 × 10−3 Pa s to 4 × 10−3 Pa s', '1.95 × 10−3 Pa s'] ","[0.00195, 0.00225, 0.00195] "
"['0.5 × 10−3 Pa s', '4 × 10−3 Pa s'] ","[0.0005, 0.004] "
['Different viscosities'] ,[N/A] 
different viscosities ,N/A 
increases ,N/A 
increases ,N/A 
1.95 × 10−3 Pa s ,0.00195 
μ2                  ,N/A                   
6.71 × 10−3 Pa s    ,0.00671               
6.71 × 10−3 Pa s    ,0.00671               
reduced        ,N/A                         
"['10 cP', '50 cP', '200 cP'] ","[0.001, 0.005, 0.02] "
different ,N/A 
50 cP ,0.005 
50 cP ,0.005 
"['10 cP', '200 cP'] ","[0.001, 0.02] "
various ,N/A 
"['10 cP', '200 cP'] ","[0.001, 0.02] "
"['10 cP', '200 cP'] ","[0.001, 0.02] "
"['10', '50', '200'] ","[0.01, 0.05, 0.2] "
"['10', '50', '200'] ","[0.01, 0.05, 0.2] "
various                ,N/A                 
1 cP                   ,0.001               
different viscosity    ,N/A                 
1 cP                   ,0.001               
1 cP                   ,0.001               
1 cP                   ,0.001               
1 cP                   ,0.001               
1                      ,N/A                 
"[1, 1, 1]              ","['N/A', 'N/A', 'N/A'] "
"['10 mPa s', '100 mPa s']                ","[0.01, 0.1]         "
0.01 Pa s                                ,0.01                
"['10 mPa s', '100 mPa s']                ","[0.01, 0.1]         "
"['10 mPa s', '100 mPa s']                ","[0.01, 0.1]         "
0.001 Pa s        ,0.001                       
μc                  ,N/A                          
"affected by power-law index, n, and consistency coefficient, K, and yield stress ",N/A 
depends on the rate of strain tensor ,N/A 
5000 ppm            ,N/A                          
higher apparent viscosity ,N/A 
large apparent viscosity ,N/A 
highly shear-thinning behaviour ,N/A 
calculated by Equation ([11](https://www.mdpi.com/2073-4360/13/12/1915#FD11-polymers-13-01915))                                                                         ,N/A                          
modeled by power-law                                                                                                                                                    ,N/A                          
"['proportional to shear rate', 'larger compared to Newtonian fluid']                                                                                                    ","['N/A', 'N/A']               "
influences droplet size                                                                                                                                                 ,N/A                          
high                                                                                                                                                                    ,N/A                          
power-law                                                                                                                                                               ,N/A                          
['varies with Ca']                                                                                                                                                      ,['N/A']                      
higher apparent viscosity with increasing xanthan concentration                                                                                                         ,N/A                          
"['increases with concentration', 'shear-thinning']                                                                                                                      ","['N/A', 'N/A']               "
high apparent viscosity                                                                                                                                                 ,N/A                          
high                                                                                                                                                                    ,N/A                          
shear-thinning behaviour                                                                                                                                                ,N/A                          
μc              ,N/A                      
24.1 mPa-s       ,0.0241                   
μd ,N/A 
1 mPa-s ,0.001 
16 mPa.s ,0.016 
μ_L                                                          ,N/A                   
1e-5 Pa s                                                    ,1e-05                 
linear interpolation based on phase fraction C               ,N/A                   
μ_G                 ,N/A                         
0.001 Pa s          ,0.001                       
linear interpolation based on phase fraction C ,N/A 
μ1                    ,N/A                        
η1                    ,N/A                        
1.95×10−3 Pa s        ,0.00195                    
η2                  ,N/A                          
6.71×10−3 Pa s      ,0.00671                      
μc                              ,N/A                   
μc                              ,N/A                   
10mPas                          ,0.01                  
2.5                             ,0.0025                
1.144mPas                       ,0.001144              
"[10mPas, 10mPas, 10mPas]        ","[0.01, 0.01, 0.01]    "
μd                  ,N/A                   
μd                  ,N/A                   
0.9mPas             ,0.0009                
1.0mPas             ,0.001                 
0.0182mPas          ,0.0000182             
μc                  ,N/A                          
0.001 Pa.s          ,0.001                        
μL                  ,N/A                          
0.00001 Pa.s        ,0.00001                     
Pa s                ,N/A                          
constant            ,N/A                          
μ1                  ,N/A                          
μcp                 ,N/A                          
0.001 Pa s          ,0.001                        
constant            ,N/A                          
μ2                  ,N/A                          
μdp                 ,N/A                          
μdp                 ,N/A                          
"['λ = 3', 'λ = 0.75'] ",N/A                          
"['0.00075 Pa s', '0.0015 Pa s', '0.003 Pa s'] ","[0.00075, 0.0015, 0.003] "
20 cP          ,0.02                      
1 cP           ,0.001                       
"['10 cP', '100 cP'] ","[0.001, 0.01] "
'μ' ,'N/A' 
"['10 cP', '100 cP'] ","[0.001, 0.01] "
'different viscosities μc' ,'N/A' 
'10 cP' ,0.001 
1 cP ,0.001 
1 cP ,0.001 
0.0712         ,0.0000712                 
0.0712         ,0.0000712                 
µc             ,N/A                       
varies         ,N/A                       
0.3            ,0.0003                     
"['0.3', '0.0712'] ","[0.0003, 0.0000712]       "
μ2             ,N/A                        
µd             ,N/A                        
varies         ,N/A                        
νc ,N/A 
0.08 ,0.00008 
ν ,N/A 
νd ,N/A 
0.08 ,0.00008 
ν ,N/A 
112.38 mPa·s        ,0.11238                    
μc                  ,N/A                        
112.38 mPa·s        ,0.11238                    
6.48 mPa·s ,0.00648 
high ,N/A 
high ,N/A 
6.48 mPa·s ,0.00648 
high ,N/A 
1.0 mPa.s ,0.001 
26 mPa.s       ,0.026                       
μc             ,N/A                         
μc             ,N/A                         
μc             ,N/A                         
5.0 mPa.s      ,0.005                      
small range    ,N/A                        
μd             ,N/A                        
μd             ,N/A                        
high ,N/A 
1 cP ,0.001 
500 mPa s           ,0.5                          
500 times higher than the DI water viscosity ,N/A 
uncommon viscous    ,N/A                          
10 cP               ,0.01                         
μl             ,N/A                         
1 cP           ,0.001                       
1.3 mPa s      ,0.0013                      
"['6 mPa s', '15 mPa s', '36 mPa s'] ","[0.006, 0.015, 0.036] "
1.3 to 36 mPa s,0.01865                     
μl             ,N/A                         
μl             ,N/A                        
"['5 cP', '10 cP'] ","[0.005, 0.01]             "
0.0691 Pa.s ,0.0691 
"['λ = 3', 'λ = 20'] ","['N/A', 'N/A'] "
1.95 mPa s     ,0.00195                       
very low ,N/A 
viscosity ratio 1 < λ < 20 ,N/A 
"['ability to capture the effects of viscosity', 'ratio on pressure is described'] ","['N/A', 'N/A'] "
"adjustable via the viscosity ratio, increases ",N/A 
6.71 mPa s ,0.00671 
dynamic viscosity of liquid phase ,N/A 
increases with addition of glycerin ,N/A          
"['90 wt%', 'pure water'] ",N/A                  
varied              ,N/A                          
high                ,N/A                          
"['low', 'high']     ","['N/A', 'N/A']              "
far lower than liquid ,N/A                          
"['1.00 mPa·s', '10.8 mPa·s'] ","[0.001, 0.0108]              "
1.0 mPa·s           ,0.001                        
1.0 mPa·s           ,0.001                        
tunable by changing water-glycerol volume ratio ,N/A 
1 mPa·s             ,0.001                        
decreases with temperature ,N/A                  
increases with PVA concentration ,N/A            
decreasing with temperature from 25 to 45 °C ,N/A 
"['14', '28', '42']  ","['0.0014', '0.0028', '0.0042'] "
250                 ,0.25                  
μC                  ,N/A                          
μC                  ,N/A                          
µ C                 ,N/A                          
fixed here (μ_C)    ,N/A                          
µ_C                 ,N/A                          
μC                  ,N/A                          
