"['1.70×10−3', '1.1 · 10−4']    ","['0.0017', '0.00011']    "
same Ca value ,N/A 
"{'range': ['-0.25 to -0.34', '-0.23 to -0.31']} ","[-0.295, -0.27] "
"['increase influences dispersed sizes', '−0.23 to −0.34 index'] ","[N/A, -0.285] "
≤ 0.06         ,0.03                      
Ca             ,N/A                       
Ca                  ,N/A                         
Ca_c           ,7.0                        
0.09           ,0.09                       
'Ca_d' ,'N/A' 
<0.01                   ,0.005                      
"['0.0064', '0.017']     ","[0.0064, 0.017]            "
high                   ,N/A                        
>0.01                   ,0.01                       
<0.01               ,0.005                      
"['Ca ≪ 1', 'Ca ≈ 1'] ","['0.5', '1'] "
"['10^-4 < Ca < 10^-3', 'Ca ≈ 1'] ","['0.00055', '1'] "
<0.01                  ,0.005                      
<0.01                  ,0.005                      
≪ 1                    ,N/A                        
">0.1, <0.1             ",N/A                        
10−4 < Ca < 10−3       ,0.00055                    
Ca                     ,N/A                        
μ⋅uσ                   ,N/A                        
Ca < 0.04              ,0.02                       
'0.00066 to 0.0085' ,0.004575                   
'Ca'                ,'N/A'                      
'Ca'                ,'N/A'                      
'0.02' ,0.02 
'Calculated with variations in Qc' ,'N/A' 
'Ca <= 0.1' ,0.05 
'0.012' ,0.012 
'increase' ,'N/A' 
'0.012' ,0.012 
'increase' ,'N/A' 
0.011          ,0.011           
0.0014              ,0.0014                     
Cac                 ,N/A                         
Ca                  ,N/A                         
'2.30 × 10-4 to 8.73 × 10-2' ,0.04365 
'Ca' ,'N/A' 
0.3                 ,0.3                        
0.01-0.1            ,0.055                      
Low                 ,N/A                        
same                ,N/A                        
'0.05'              ,0.05                       
'Ohw'               ,'N/A'                      
Ohk                 ,N/A                        
<< 1                ,0.5                        
"< 0.05 for dripping, > 0.05 for jetting   ","[0.025, 0.05]               "
"['0.004', '0.02']                         ","[0.004, 0.02]               "
0.03 ≤ Ca ≤ 0.65                          ,0.3425                      
"['<0.002', '0.01 < Ca < 0.3', '>0.3']                                               ","[0.001, 0.155, 0.3]        "
low                                                                                  ,N/A                      
0.002 < Ca < 0.01                                                                   ,0.006                      
"['0.001-0.01', '0.01-0.1']                                                          ","[0.0055, 0.055]            "
must match                                                                           ,N/A                      
Large                                                                                ,N/A                      
"higher in jetting-like regime, low in squeezing and dripping-like regimes           ",N/A                      
Cao=μoUo/σw/o                                                                       ,N/A                      
low                 ,N/A                        
Ca = μw Vw/σw       ,N/A                        
increases           ,N/A                        
0.05 to 0.57        ,0.31                       
0.05 to 0.57        ,0.31                        
'low' ,'N/A' 
'low' ,'N/A' 
'depends on continuous flowrate and the interfacial tension' ,'N/A' 
'critical sum of CaC increases for dripping-to-jetting transition' ,'N/A' 
'present' ,'N/A' 
'Ca_C' ,'N/A' 
'_Ca_ _C_' ,'N/A' 
low                 ,N/A                        
Ca                  ,N/A                        
"['0.001 to 0.008', '0.005 to 0.05'] ","[0.0045, 0.0275] "
"[0.00016, 0.11]     ","[0.00016, 0.11]             "
'increases'         ,'N/A'                       
'0.0063 to 0.11'    ,0.05815                     
'0.019'             ,0.019                       
'0.41 ± 0.03'       ,0.41                        
'Ca_c'              ,'N/A'                       
"['0.016', '0.11']   ","[0.016, 0.11]               "
'0.016 to 0.11'     ,0.063                       
"[2e-05, 0.06] ","[0.00002, 0.06] "
"['low', 'high', 'higher'] ","['N/A', 'N/A', 'N/A'] "
"'Cac,vdG' ",'N/A' 
'between 3×10−4 and 0.2' ,0.10015 
'4×10−4 through 4×10−2' ,0.0202 
'4×10−3 to 0.1' ,0.052 
'Ca c' ,'N/A' 
'Ca c' ,'N/A' 
0.01                ,0.01                       
increases           ,N/A                        
Increase noted      ,N/A                        
0.05                ,0.05                       
Ca                  ,N/A                        
low                 ,N/A                        
low                 ,N/A                         
Increase noted      ,N/A                         
higher              ,N/A                         
'ηu/σ'              ,'N/A'                      
'Ca'                ,'N/A'                      
'5.2 × 10−4'        ,0.00052                     
'fixed'             ,'N/A'                      
"'[0.0013, 0.1655]'  ","[0.0013, 0.1655]            "
'ηu/σ'              ,'N/A'                      
'5.2 × 10−4'        ,0.00052                     
'Ca'                ,'N/A'                      
μLUG+UL/σ           ,N/A                        
Ca                  ,N/A                        
0.0010–0.0073       ,0.00415                    
"OhL,local           ",N/A                        
Cac                 ,N/A                        
_Ca c_              ,N/A                        
'Cad=(Bi+1)kUnde1-nσ' ,'N/A' 
"Ca_c = 0.03, 0.015         ","[0.03, 0.015]     "
Ca             ,N/A             
<0.04          ,0.02            
"['< 0.04', '> 0.04'] ","['0.02', '0.04']  "
far less than 0.01  ,0.005                       
effect recognized on droplet formation time        ,N/A                        
'Defined as the relative importance of viscous forces versus surface tension'                 ,'N/A'     
'low'                                                                                        ,'N/A'     
'0.04 < Ca < 0.2'   ,0.12                       
"['0.01', '0.47']    ","[0.01, 0.47]               "
'0.01 - 0.28'       ,0.145                      
'Ca'                ,'N/A'                      
"['0.42', '0.31']     ","['0.42', '0.31']           "
Ca                   ,N/A                        
'up to 1.2'                               ,1.2                        
'influenced by two-phase flow rate ratio' ,'N/A'                      
'0.01 to 0.04'                            ,0.025                      
'0.01-0.04'                               ,0.025                      
'mentioned but value not specified'       ,'N/A'                      
0.0053         ,0.0053          
Cab            ,N/A             
<0.012         ,0.006           
0.05           ,0.05            
"['0.69', '1.05']       ","['0.69', '1.05'] "
"['0.09', '11.23']      ","['0.09', '11.23'] "
best estimate for butanol system       ,N/A                        
'took into account'  ,'N/A'                    
'Ca'                 ,'N/A'                    
'Ca < 0.04'          ,0.02                      
'Ca < 0.04'          ,0.02                      
_Ca_           ,N/A             
Ca             ,N/A                        
'0.0146'                              ,0.0146                    
'Ca=μcuc/γ'                           ,'N/A'                     
"['0.00146', '0.0146', '0.0292']       ","[0.00146, 0.0146, 0.0292] "
'0.0292'                              ,0.0292                    
"['0.00146', '0.0292']                 ","[0.00146, 0.0292]         "
'0.0146'                              ,0.0146                    
'same'                                ,'N/A'                     
'0.0146'                              ,0.0146                    
'0.0292'                              ,0.0292                    
0.01           ,0.01                       
same           ,N/A                        
0.009 to 0.039     ,0.024                     
0.009              ,0.009                     
0.001-0.022          ,0.0115                    
low            ,N/A             
provided                                                            ,N/A                        
Ca C                                                                ,N/A                        
decreased                                                           ,N/A                        
0.01                                                                ,0.01                       
smaller under jetting flow regime                                   ,N/A                        
low _Ca_ C                                                          ,N/A                        
selected as parameter in models                                     ,N/A                        
\<0.01                                                              ,0.005                      
_Ca_ C                                                              ,N/A                        
low                                                                 ,N/A                        
'0.1-0.5' ,0.3 
0.003               ,0.003                      
important parameter       ,N/A                             
(ηC vC)/γ                                       ,N/A                        
Ca                                              ,N/A                        
"Ca values vary, as shown in Figure [7]          ",N/A                        
"['0.02', '0.15']    ","[0.02, 0.15]               "
0.029               ,0.029                      
0.08                ,0.08                       
"['0.105', '0.115']  ","[0.105, 0.115]             "
0.123               ,0.123                      
relatively low to high ,N/A                    
'0.08'              ,0.08                       
0.002          ,0.002                      
<0.01          ,0.005                      
0.005          ,0.005                      
0.006          ,0.006                      
0.006          ,0.006                      
0.006          ,0.006                      
0.006          ,0.006                      
0.005          ,0.005                      
0.005          ,0.005                      
0.005          ,0.005                      
0.005          ,0.005                      
>0.01               ,0.01                       
Ca<0.01             ,0.005                      
changes investigated ,N/A 
Ca ,N/A 
varies ,N/A 
"['0.089', '0.0163', '0.0054'] ","[0.089, 0.0163, 0.0054] "
0.00054 ,0.00054 
0.00054 ,0.00054 
low ,N/A 
0.00054 ,0.00054 
0.00054 ,0.00054 
0.0054 ,0.0054 
0.0054 ,0.0054 
0.0054 ,0.0054 
0.0054 ,0.0054 
0.00814 ,0.00814 
0.00814 ,0.00814 
0.00814 ,0.00814 
0.005 ,0.005 
0.005 ,0.005 
varies ,N/A 
varies ,N/A 
'Ca_c'                  ,'N/A'           
'Ca'                    ,'N/A'           
'0.0098'                ,0.0098          
'0.006'                 ,0.006           
'0.006'                 ,0.006           
'fixed'                 ,'N/A'           
'0.036'                 ,0.036           
'0.036'                 ,0.036           
'0.036'                 ,0.036           
"['0.006', '0.036']      ","[0.006, 0.036]  "
'constant'              ,'N/A'           
'low to high'           ,'N/A'           
Ca_d ,N/A 
0.006 ,0.006 
0.006 to 0.036 ,0.021 
"['0.006', '0.036'] ","['0.006', '0.036'] "
"['Increases', 'Decreases droplet length', 'Reduces impact of dispersed phase velocity at higher values'] ","['N/A', 'N/A', 'N/A'] "
0.0012         ,0.0012          
"['0.0001', '0.0005', '0.001'] ","['0.0001', '0.0005', '0.001'] "
'below 10–2' ,0.005 
'below 2.6 × 10–4' ,0.00013 
'<0.1' ,0.05 
'Ca' ,'N/A' 
"['(5.0 × 10–4)–(2.6 × 10–3)', '(3.1 × 10–2)–(4.2 × 10–4)', '(1.6 × 10–2)–(4.2 × 10–4)', '(2.6 × 10–3)–(1.6 × 10–2)', '(3.0–2.6) × 10–3', '(5.0 × 10–3)–(4.2 × 10–2)', '(1.0–4.2) × 10–2', '(1.0–3.1) × 10–2'] ","[0.00155, 0.01555, 0.0081, 0.0088, 0.0028, 0.0246, 0.026, 0.0205] "
Ca ,N/A 
(4 × 10–4)–(8.8 × 10–3) ,0.0044 
(1.8–5.3) × 10–2 ,0.035 
(1.8–7.1) × 10–2 ,0.045 
(4 × 10–4)–(8.8 × 10–3) ,0.0044 
(4 × 10–4)–(4.4 × 10–3) ,0.0024 
(2.6 × 10–3)–(6.2 × 10–2) ,0.032 
(3.5–7.1) × 10–2 ,0.053 
(1.8–5.3) × 10–2 ,0.035 
correlated with droplet formation ,N/A 
Ca=γRησ ,N/A 
increasing ,N/A 
"['0.0075', '0.06', '0.12', '0.18', '0.24', '0.3'] ","[0.0075, 0.06, 0.12, 0.18, 0.24, 0.3] "
1.0 ,1.0 
1.0 ,1.0 
0.005 ,0.005 
0.005 ,0.005 
Ca ,N/A 
"['0.0015', '0.015', '0.079'] ","[0.0015, 0.015, 0.079] "
0.006 ,0.006 
0.006 ,0.006 
0.006 ,0.006 
"['0.001', '0.001', '0.1', '0.1', '0.024', '0.024', '0.1', '0.1'] ","[0.001, 0.001, 0.1, 0.1, 0.024, 0.024, 0.1, 0.1] "
0.036 ,0.036 
0.036 ,0.036 
0.036 ,0.036 
0.036 ,0.036 
0.036 ,0.036 
large ,N/A 
0.09 ,0.09 
0.09 ,0.09 
'increasing'        ,'N/A'                      
'0.005'             ,0.005                      
'0.006'             ,0.006                      
'0.036'             ,0.036                      
Ca < 10−2           ,0.005                      
4.0 × 10−4          ,0.0004                     
< 10-2 ,0.005 
Ca ,N/A 
> 4 × 10−4 ,0.0004 
critical Capillary number under investigation ,N/A 
0.01                                                             ,0.01                       
minimum available numerically to neglect spurious currents       ,N/A                        
< 10−2                                                           ,0.005                      
high                                                             ,N/A                        
"['0.055', '0.293', '1.47']                                       ","[0.055, 0.293, 1.47]       "
< 0.01                                                           ,0.005                      
< 0.01                                                           ,0.005                      
'Provided for both compared systems' ,'N/A' 
'10−2' ,'0.01' 
'< 0.01' ,'0.005' 
'≪ 1' ,'N/A' 
'varies (low values ≲ 0.01 in squeezing; high values for dripping and jetting regimes)' ,0.005 
'Defined as Ca=ηcUc/σ' ,'N/A' 
'Ca=ηcUcσ' ,'N/A' 
'0.01' ,0.01 
'0.01' ,0.01 
'0.01' ,0.01 
'0.01' ,0.01 
'low' ,'N/A' 
'small' ,'N/A' 
"['0.004', '0.006', '0.008'] ","[0.004, 0.006, 0.008] "
"['0.004', '0.006', '0.008'] ","[0.004, 0.006, 0.008] "
"['0.004', '0.006', '0.008', '0.01'] ","[0.004, 0.006, 0.008, 0.01] "
"['varied', 'causes squeezing', 'values linearly related to Pmax', 'numerical simulations showed pressure drop across the interface was the same for all cases'] ","['N/A', 'N/A', 'N/A', 'N/A'] "
'Changed by modifying the flow rate' ,'N/A' 
'0.004 to 0.01' ,0.007 
'0.006' ,0.006 
'0.01' ,0.01 
'small' ,'N/A' 
'0.01' ,0.01 
'0.01' ,0.01 
'≲0.01' ,0.005 
"['lower capillary number', 'critical capillary number'] ",'N/A' 
"['0.1', '3×10−5'] ","[0.1, 0.00003] "
'0.1' ,0.1 
'1.8×10−3' ,0.0018 
'0.1' ,0.1 
'0.1' ,0.1 
'0.1' ,0.1 
'0.1' ,0.1 
"['0.015', '0.007', '0.0018'] ","[0.015, 0.007, 0.0018] "
"['0.014', '0.007', '0.0018'] ","[0.014, 0.007, 0.0018] "
"['0.014', '0.007', '0.0018'] ","[0.014, 0.007, 0.0018] "
"['0.014', '0.007', '0.0018'] ","[0.014, 0.007, 0.0018] "
'0.0003' ,0.0003 
"['3×10−4', '3×10−5'] ","[0.0003, 0.00003] "
'0.01' ,0.01 
'varies' ,'N/A' 
'0.014' ,0.014 
'0.014' ,0.014 
'lower' ,'N/A' 
'varies' ,'N/A' 
"'0.01, 0.0018' ","[0.01, 0.0018] "
"['0.01', '0.003', '0.007', '0.0018'] ","[0.01, 0.003, 0.007, 0.0018] "
'0.0018' ,0.0018 
'3×10−5' ,0.00003 
'0.01' ,0.01 
"['0.147', '0.018', '0.014', '0.007', '0.007-0.003', '0.005-0.003', '0.002'] ","[0.147, 0.018, 0.014, 0.007, 0.005, 0.004, 0.002] "
'lower Ca' ,'N/A' 
"'0.1≤Ca≤1.8×10−3, Ca≈0.007, Ca≈0.003, Ca≈3×10−5' ","[0.0009, 0.007, 0.003, 0.00003] "
"['O(10^-4) < Ca_c < O(10^-2)', 'O(10^-3) < Ca_c < O(10^-1)', 'O(10^-2) < Ca_c < O(10^-1)'] ","[0.0005, 0.005, 0.05] "
'0.01' ,0.01 
"['1.0 × 10−3', '0.02'] ","[0.001, 0.02] "
mentioned in Eq. 8 ,N/A 
Ca < 10−2 ,0.005 
< 10−2 ,0.005 
< 10−2 ,0.005 
10^-3 ,0.001 
Cac ,N/A 
< 10−2 ,0.005 
"['0.0055', '0.0043'] ","['0.0055', '0.0043'] "
10^-4 ,0.0001 
10^-4 ,0.0001 
10−4 ≤ _Ca_ c ≤ 10−3 ,0.00055 
10−4 ≤ _Ca_ c ≤ 10−3 ,0.00055 
10−4 ≤ _Ca_ c ≤ 10−3 ,0.00055 
10−4 ≤ _Ca_ c≤10−3 ,0.00055 
Ca < 10−2 ,0.005 
10^-4 ,0.0001 
_Ca_ c < 10−2 ,0.005 
10−4 ,0.0001 
"Given, but specific value not provided ",N/A 
Ca ,N/A 
10−4 ,0.0001 
_Ca_ c ,N/A 
10−4 ,0.0001 
10−4 ,0.0001 
10−4 ,0.0001 
_Ca_ c ,N/A 
Ca < 10−2 ,0.005 
Ca = ηV/γ           ,N/A              
'Ca = ηV/γ'     ,'N/A'                      
scales linearly with droplet size in Y-junctions               ,N/A                         
inversely proportional to the square root                      ,N/A                         
various                                                        ,N/A                         
'Ca ≥ 0.02'         ,0.02                        
'Ca<0.015' ,0.0075 
"['0.0017', '0.0021']","[0.0017, 0.0021]            "
'0.0017 to 0.0021'  ,0.0019                      
'0.0205'            ,0.0205                      
'0.0017'            ,0.0017                      
'0.0021'            ,0.0021                      
'0.0017'            ,0.0017                      
'< 10^-2'      ,0.0005                      
'0.05'         ,0.05                        
0.2 ,0.2 
uμ / σ                ,N/A             
uc ηc/σ               ,N/A             
increasing             ,N/A             
varied                 ,N/A             
< 0.01                 ,0.005           
Cac                    ,N/A             
0.0075 ≤ Cac ≤ 0.75    ,0.379           
lower than Caref    ,N/A                        
Cac                 ,N/A                        
Cao                 ,N/A                        
Ca                  ,N/A                        
_Ca_                ,N/A                        
2 orders of magnitude smaller than those of the liquid phase ,N/A 
"['0.0008', '0.009', '0.004', '0.006', '0.04', '0.06'] ","[0.0008, 0.009, 0.004, 0.006, 0.04, 0.06] "
varies              ,N/A                        
['0.006–0.02']      ,[0.013]                    
"['0.0005', '0.001'] ","[0.0005, 0.001]            "
varies              ,N/A                        
low                 ,N/A                        
low-to-moderate  ,N/A              
Ca                  ,N/A                        
~ 0.015        ,0.015                     
high           ,N/A                       
'low'                          ,'N/A'                        
'>0.14 for transformative behavior' ,0.14 
"['0.35% CMC', '0.50% CMC', '0.70% CMC'] ","['N/A', 'N/A', 'N/A'] "
'>0.14' ,0.14 
'0.02 ≤ Ca ≤ 0.65' ,0.335 
low levels report more variance in bubble lengths; high levels minimal influence ,N/A                        
'0.015'                       ,0.015                       
'0.02'                        ,0.02                        
'0.059'                       ,0.059                       
'0.6'                         ,0.6                         
"['0.6', '0.059']              ","[0.6, 0.059]                "
'0.015'                       ,0.015                       
"['0.015', '0.059']            ","[0.015, 0.059]              "
0.015                 ,0.015                
"['0.6', '0.059']      ","[0.6, 0.059]         "
"['0.059', '0.015']    ","[0.059, 0.015]       "
['0.017']             ,[0.017]              
Ca                                           ,N/A                        
Ca                                           ,N/A                        
increases                                    ,N/A                        
"['9 × 10−4', '6.54 × 10−2']                  ","[0.0009, 0.0654]           "
10^-3 to 10                                  ,5.0                        
'≤ 0.1'             ,0.05                       
'large (Ca > 0.1)'  ,0.1                        
'Ca ≤ 0.1'          ,0.05                       
'≤ 0.1' ,0.05 
"['0.00032', '0.15']     ","[0.00032, 0.15]      "
extremely low     ,N/A               
higher in dropping to parallel flow transition ,N/A                        
2.323⋅10-3                           ,0.002323                   
Ca=μVclσ                             ,N/A                        
"increases initially, then decreases at 0.009 s ",N/A 
critical for determining droplet regime    ,N/A              
1                       ,1.0             
0.0134                  ,0.0134          
6.7×10−3                ,0.0067          
"['0.00005', '0.0006']      ","[0.00005, 0.0006]"
'small'              ,'N/A'                      
'_Ca_ 0'             ,'N/A'                      
['7 × 10–3']         ,[0.007]                    
"'1.8 × 10–3, 0.01, 0.03' ","[0.0018, 0.01, 0.03]    "
'1.8 × 10–3'         ,0.0018                     
'_Ca_ 0'             ,'N/A'                      
small          ,N/A                          
0.01           ,0.01                         
0              ,0.0                          
"greater than about 0.02 the effect of changing the contact angle has negligible effects on droplet size, while on the contrary, ... ",0.02                       
"Ca < 10-2, Ca > 10-2                                                                                                               ",N/A                        
"['0.001', '0.002']                                                                                                                 ","[0.001, 0.002]             "
"['Ca<0.01', 'Ca>0.01']                                                                                                             ","[0.005, 0.01]              "
"['< 10^-2', '> 10^-2'] ","['0.00005', '0.0001']       "
\<0.01 for squeezing regime                         ,0.005                      
high                                               ,N/A                        
higher Ca                                          ,N/A                        
lower                                              ,N/A                        
4.7 · 10−5 \< Ca · ϕ \< 8.6 · 10−4                ,4.355E-4                   
low                                                ,N/A                        
"['4.7 · 10−5', '8.6 · 10−4']                       ","[4.7E-5, 8.6E-4]           "
lower                                          ,N/A             
higher Ca                                      ,N/A             
1.5 · 10−4 < Ca · ϕ < 6.1 · 10−4                ,0.000385        
< 0.02         ,0.01            
Ca             ,N/A             
'Ca≤0.1'        ,0.05             
'low'           ,'N/A'            
"['0.0001', '0.1'] ","[0.0001, 0.1] "
"['0.005', '0.01'] ","[0.005, 0.01] "
"['0.0001', '0.0005', '0.001', '0.005', '0.01', '0.05', '0.1'] ","[0.0001, 0.0005, 0.001, 0.005, 0.01, 0.05, 0.1] "
"['0.0001', '0.001'] ","[0.0001, 0.001] "
'0.001' ,0.001 
'0.005' ,0.005 
"['0.001', '0.0001'] ","[0.001, 0.0001] "
'increases from 0.0001 to 0.001' ,0.00055 
"['< 0.005', '> 0.01'] ","[0.0025, 0.01]            "
0.001               ,0.001                      
0.0001 to 0.1       ,0.05005                    
"['0.0001', '0.0005', '0.001'] ","[0.0001, 0.0005, 0.001] "
varies widely       ,N/A                        
has effect          ,N/A                         
"low capillary numbers (Ca⩽0.1), high capillary numbers 0.1⩽Ca⩽1.0 ","[0.05, 0.55] "
0.1⩽Ca⩽1.0 ,0.55 
Ca⩽0.1 ,0.05 
low ,N/A 
low ,N/A 
Ca⩽0.1 ,0.05 
≤0.1 ,0.05 
low ,N/A 
0.2 ,0.2 
0.2 ,0.2 
0.1 to 1.0 ,0.55 
0.1⩽Ca⩽1.0 ,0.55 
0.001 to 0.2 ,0.1005 
"['low (Ca⩽0.1)', 'high (0.1⩽Ca⩽1.0)'] ","[0.05, 0.55] "
"['0.001', '0.005', '0.02'] ","[0.001, 0.005, 0.02] "
0.2                 ,0.2                        
0.2                 ,0.2                        
"['1.575 × 10−3-8.3 × 10−3', '1.02 × 10−2-3.4 × 10−2'] ","[0.0049375, 0.0221] "
'2.323 × 10−3' ,0.002323 
"['1.12 × 10−2−3.4 × 10−2', '7.75 × 10−4−2.32 × 10−3'] ","[0.0226, 0.0015485] "
"['3.4 × 10−2', '1.7 × 10−2', '2.32 × 10−3'] ","[0.034, 0.017, 0.00232] "
'> 1 × 10−2' ,0.01 
'> 1 × 10−2' ,0.01 
1 × 10−4−1 × 10−3   ,5.5e-04                     
> 1 × 10−2          ,1e-02                       
< 1 × 10−2          ,5e-03                       
< 1 × 10−2          ,5e-03                       
μc×2×Uc/σ           ,N/A                        
low                 ,N/A                        
0.005               ,0.005                      
"['0.01', '0.02']    ","[0.01, 0.02]               "
"['0.005', '0.08']   ","[0.005, 0.08]              "
"['0.05', '0.08']    ","[0.05, 0.08]               "
higher              ,N/A                        
𝐶𝑎Ca where jetting occurs ,N/A                    
"['0.005', '0.08'] ","[0.005, 0.08] "
constant; smaller delay with increasing Ca ,N/A 
high ,N/A 
"< 0.024, ≥ 0.024   ","[0.012, 0.024]             "
noted               ,N/A                        
0.3 to 0.353        ,0.3265                     
"['0.267', '0.225']  ","[0.267, 0.225]             "
0.306               ,0.306                      
< 0.02              ,0.01                       
"['0.267', '0.225']  ","[0.267, 0.225]             "
< 0.024             ,0.012                      
0.028 to 0.13       ,0.079                      
0.225               ,0.225                      
0.267               ,0.267                      
0.354               ,0.354                      
0.306               ,0.306                      
Ca                    ,N/A                        
0.015 - 0.074         ,0.0445                     
'Ca'                ,'N/A'                       
'greater than 1.5'  ,1.5                         
'low' ,N/A 
'modified capillary number considering local flow rate at droplet formation site' ,N/A 
"['0.000312', '0.000624', '0.001248', '0.00624', '0.0312'] ","[0.000312, 0.000624, 0.001248, 0.00624, 0.0312] "
'Ca=μ1v1/σ' ,N/A 
'0.00156' ,0.00156 
'0.00156' ,0.00156 
'0.00156' ,0.00156 
'0.000312' ,0.000312 
"['0.000312', '0.00156'] ","[0.000312, 0.00156] "
'0.000312' ,0.000312 
'0.000312' ,0.000312 
'0.000312' ,0.000312 
'0.00312' ,0.00312 
'0.00312' ,0.00312 
"['0.00156', '0.156'] ","[0.00156, 0.156] "
'high' ,N/A 
'high' ,N/A 
"['0.000312', '0.00156'] ","[0.000312, 0.00156] "
"['0.000312', '0.000624', '0.001248', '0.00624', '0.0312'] ","[0.000312, 0.000624, 0.001248, 0.00624, 0.0312] "
'0.00156' ,0.00156 
'0.00156' ,0.00156 
'0.00156' ,0.00156 
'stable' ,'N/A' 
'0.00156' ,0.00156 
"['0.00156', '0.000312'] ","[0.00156, 0.000312] "
'0.00156' ,0.00156 
'low' ,'N/A' 
'0.00232' ,0.00232 
'0.00232' ,0.00232 
'0.0159' ,0.0159 
'0.0159' ,0.0159 
'0.0272' ,0.0272 
'0.0272' ,0.0272 
"['0.0025', '0.014', '0.025'] ","[0.0025, 0.014, 0.025] "
"['0.0025', '0.014', '0.025'] ","[0.0025, 0.014, 0.025] "
'constant' ,'N/A' 
fixed               ,N/A                        
'Ca = μc * Uc / σ' ,'N/A' 
'0.07' ,0.07 
"'>0.1, approximately 0.018' ",0.1 
'Ca=μL USL / σ' ,'N/A' 
'increasing' ,'N/A' 
"['6 ⋅ 10− 4', '1.33 ⋅ 10− 2'] ","[0.0006, 0.0133] "
'several' ,'N/A' 
'7.4 − 13.3 ⋅ 10− 3' ,0.01035 
'4.4 x 10^-3' ,0.0044 
'C_a' ,'N/A' 
"['0.0006', '0.0118'] ","[0.0006, 0.0118] "
'low' ,'N/A' 
'8.8 − 10.3 ⋅ 10− 3' ,0.00955 
"['1.5 ⋅ 10− 3', '4.4 ⋅ 10− 3'] ","[0.0015, 0.0044] "
'1.5 ⋅ 10−3' ,0.0015 
'0.0044' ,0.0044 
"['1.5 ⋅ 10−3', '4.4 ⋅ 10−3'] ","[0.0015, 0.0044] "
"['1.5 ⋅ 10−3', '4.4 ⋅ 10−3'] ","[0.0015, 0.0044] "
'4.4 ⋅ 10− 3' ,0.0044 
"['1.5 ⋅ 10− 3', '4.4 ⋅ 10− 3'] ","[0.0015, 0.0044] "
'4.4 ⋅ 10− 3' ,0.0044 
'4.4 ⋅ 10−3' ,0.0044 
'4.4 ⋅ 10−3' ,0.0044 
'4.4 ⋅ 10− 3' ,0.0044 
'0.002' ,0.002 
"['1.5 x 10^-3', '5.9 x 10^-3'] ","[0.0015, 0.0059] "
'0.6 − 1.5 ⋅ 10− 3' ,0.00105 
'Ca=μcpucpσ=RWeλRe' ,'N/A' 
'0.004' ,0.004 
'0.004' ,0.004 
'Ca = 0.008' ,0.008 
'0.008' ,0.008 
'0.004-0.04' ,0.022 
'high' ,'N/A' 
'0.004' ,0.004 
"['0.004', '0.04'] ","[0.004, 0.04] "
"['0.004', '0.008', '0.016', '0.04'] ","[0.004, 0.008, 0.016, 0.04] "
"['0.004', '0.008', '0.016', '0.04'] ","[0.004, 0.008, 0.016, 0.04] "
<= 0.1              ,0.05                        
<0.01 ,0.005 
< 0.01 ,0.005 
< 0.01 ,0.005 
< 0.01 ,0.005 
"['< 0.01', '0.0082']    ","['0.005', '0.0082'] "
0.0004–0.04         ,0.0202                     
'Ca = µc uc/σ' ,'N/A' 
'relatively high in jetting-shearing regime; low in dripping-squeezing regime' ,'N/A' 
'~0.002' ,0.002 
'~0.002' ,0.002 
'~0.002' ,0.002 
Ca < Cac (related to 𝐿−=1.13−0.54𝑙𝑜𝑔(𝐶𝑎)) ,N/A 
Ca > Cac (related to 𝐿−=−15.54−13.62𝑙𝑜𝑔(𝐶𝑎)−2.56𝑙𝑜𝑔2(𝐶𝑎) for λ = 4.21) ,N/A 
Ca > Cac (related to 𝐿−=−18.85−15.05𝑙𝑜𝑔(𝐶𝑎)−2.64𝑙𝑜𝑔2(𝐶𝑎) for λ = 3.00) ,N/A 
Ca > Cac (related to 𝐿−=−22.26−16.81𝑙𝑜𝑔(𝐶𝑎)−2.84𝑙𝑜𝑔2(𝐶𝑎) for λ = 1.00) ,N/A 
Ca=Ucνc/σ           ,N/A                         
_Ca_                ,N/A                         
0.035               ,0.035                       
0.4                 ,0.4                        
Ca                  ,N/A                        
1 × 10–3–10–5          ,0.00005                    
0.01                   ,0.01                       
Cac                    ,N/A                        
0.05                   ,0.05            
<0.01                  ,0.005           
< 0.01                 ,0.005           
<0.01                  ,0.005           
Ca < 0.01              ,0.005           
low                 ,N/A                        
'0.00075 to 0.30'   ,0.150375                   
'ucμc/σ'            ,'N/A'                      
'Increases'         ,'N/A'                      
'Caor(c) = μcuor(c)/σ' ,'N/A'                  
'decreases with the decrease in Cac' ,'N/A'    
'Cac'               ,'N/A'                      
'Cac'               ,'N/A'                      
'Cac'               ,'N/A'                      
"['0.2', '0.4', '0.6'] ","['0.2', '0.4', '0.6'] "
Ca ,N/A 
0.05 ,0.05 
"['Varying', 'Smaller reduction with increase in capillary number'] ","['N/A', 'N/A'] "
μlUl/σl ,N/A 
Ca                  ,N/A                        
0.09                ,0.09                        
'0.00185–0.00556' ,0.003705 
'0.00556' ,0.00556 
'0.00333' ,0.00333 
'0.00333' ,0.00333 
'0.00556' ,0.00556 
'0.00556' ,0.00556 
'0.00185–0.00556' ,0.003705 
"'high capillary number, low capillary number' ",'N/A' 
'0.0108'            ,0.0108                     
'0.00333'           ,0.00333                    
"['0.00556', '0.00185'] ","[0.00556, 0.00185]        "
0.003               ,0.003                      
related to the thickness of liquid film ,N/A 
low                 ,N/A                        
Ca = μC × vC / γCD  ,N/A                         
